epoch_ms,http_code,total_s,connect_s,ttfb_s
1786421444775,200,1.240,0.000,1.240
1786421446015,200,1.898,0.000,1.898
1786421447913,200,0.623,0.000,0.623
1786421448913,200,0.018,0.000,0.018
1786421449913,200,3.653,0.000,3.653
1786421453567,200,0.009,0.000,0.009
1786421454567,200,0.123,0.000,0.123
1786421455567,200,0.013,0.000,0.013
1786421456567,200,0.716,0.000,0.716
1786421457567,200,0.011,0.000,0.011
1786421458567,200,0.011,0.000,0.011
1786421459567,200,0.838,0.000,0.838
1786421460567,200,0.009,0.000,0.009
1786421461567,200,0.019,0.000,0.019
1786421462567,200,0.010,0.000,0.010
1786421463568,200,0.257,0.000,0.257
1786421464568,200,0.013,0.000,0.013
1786421465568,200,0.011,0.000,0.011
1786421466568,200,0.012,0.000,0.012
1786421467568,200,0.011,0.000,0.011
1786421468568,200,0.011,0.000,0.011
1786421469568,200,0.011,0.000,0.011
1786421470568,200,0.132,0.000,0.132
1786421471568,200,0.013,0.000,0.013
1786421472568,200,0.011,0.000,0.011
1786421473568,200,0.016,0.000,0.016
1786421474569,200,0.010,0.000,0.010
1786421475569,200,0.010,0.000,0.010
1786421476569,200,0.012,0.000,0.012
1786421477569,200,0.011,0.000,0.011
1786421478569,200,0.011,0.000,0.011
1786421479569,200,1.157,0.000,1.157
1786421480726,200,0.009,0.000,0.009
1786421481726,200,0.042,0.000,0.042
1786421482726,200,0.040,0.000,0.040
1786421483726,200,0.027,0.000,0.027
1786421484726,200,0.026,0.000,0.026
1786421485726,200,0.125,0.000,0.125
1786421486727,200,0.125,0.000,0.125
1786421487727,200,0.012,0.000,0.012
1786421488727,200,0.111,0.000,0.111
1786421489727,200,0.010,0.000,0.010
1786421490727,200,0.014,0.000,0.013
1786421491727,200,0.030,0.000,0.030
1786421492727,200,0.011,0.000,0.011
1786421493727,200,0.098,0.000,0.098
1786421494727,200,0.007,0.000,0.007
1786421495728,200,0.008,0.000,0.008
1786421496728,200,0.051,0.000,0.050
1786421497728,200,0.017,0.000,0.017
1786421498728,200,0.007,0.000,0.007
1786421499728,200,0.008,0.000,0.008
1786421500728,200,0.023,0.000,0.023
1786421501728,200,0.012,0.000,0.012
1786421502728,200,0.011,0.000,0.011
1786421503728,200,1.957,0.000,1.957
1786421505686,200,2.241,0.000,2.241
1786421507927,200,1.295,0.000,1.295
1786421509222,200,1.155,0.000,1.155
1786421510377,200,0.880,0.000,0.880
1786421511377,200,1.137,0.000,1.137
1786421512515,200,1.745,0.000,1.745
1786421514259,200,0.027,0.000,0.027
1786421515260,200,0.115,0.000,0.115
1786421516260,200,0.137,0.000,0.137
1786421517260,200,0.021,0.000,0.021
1786421518260,200,0.009,0.000,0.009
1786421519260,200,0.139,0.000,0.139
1786421520260,200,0.010,0.000,0.010
1786421521260,200,0.084,0.000,0.084
1786421522260,200,0.123,0.000,0.123
1786421523261,200,0.103,0.000,0.103
1786421524261,200,0.024,0.000,0.024
1786421525261,200,0.175,0.000,0.174
1786421526261,200,0.025,0.000,0.025
1786421527261,200,0.105,0.000,0.105
1786421528261,200,0.102,0.000,0.102
1786421529261,200,0.078,0.000,0.078
1786421530261,200,0.009,0.000,0.009
1786421531261,200,0.125,0.000,0.125
1786421532261,200,0.025,0.000,0.025
1786421533262,200,1.561,0.000,1.561
1786421534822,200,0.027,0.000,0.027
1786421535822,200,0.052,0.000,0.052
1786421536822,200,0.056,0.000,0.056
1786421537823,200,0.016,0.000,0.016
1786421538823,200,0.011,0.000,0.011
1786421539823,200,0.009,0.000,0.009
1786421540823,200,0.010,0.000,0.010
1786421541823,200,0.086,0.000,0.086
1786421542823,200,0.011,0.000,0.011
1786421543823,200,0.096,0.000,0.096
1786421544823,200,0.010,0.000,0.010
1786421545823,200,0.019,0.000,0.019
1786421546824,200,0.013,0.000,0.013
1786421547824,200,0.025,0.000,0.025
1786421548824,200,0.010,0.000,0.010
1786421549824,200,0.008,0.000,0.008
1786421550824,200,0.008,0.000,0.008
1786421551824,200,0.018,0.000,0.018
1786421552824,200,0.112,0.000,0.112
1786421553824,200,0.056,0.000,0.056
1786421554824,200,1.352,0.000,1.352
1786421556177,200,1.020,0.000,1.020
1786421557197,200,1.770,0.000,1.769
1786421558967,200,1.182,0.000,1.182
1786421560149,200,0.650,0.000,0.650
1786421561149,200,0.877,0.000,0.877
1786421562149,200,0.864,0.000,0.864
1786421563149,200,1.449,0.000,1.449
1786421564598,200,0.788,0.000,0.787
1786421565598,200,0.008,0.000,0.008
1786421566598,200,0.074,0.000,0.074
1786421567598,200,0.022,0.000,0.022
1786421568598,200,0.092,0.000,0.092
1786421569599,200,0.130,0.000,0.129
1786421570599,200,0.022,0.000,0.022
1786421571599,200,0.015,0.000,0.015
1786421572599,200,0.009,0.000,0.009
1786421573599,200,0.021,0.000,0.021
1786421574599,200,0.009,0.000,0.009
1786421575599,200,0.163,0.000,0.163
1786421576599,200,0.220,0.000,0.220
1786421577599,200,0.111,0.000,0.110
1786421578599,200,0.011,0.000,0.011
1786421579599,200,0.164,0.000,0.164
1786421580600,200,0.197,0.000,0.197
1786421581600,200,0.026,0.000,0.026
1786421582600,200,0.122,0.000,0.122
1786421583600,200,0.193,0.000,0.193
1786421584600,200,0.200,0.000,0.200
1786421585600,200,0.174,0.000,0.174
1786421586600,200,0.007,0.000,0.007
1786421587600,200,0.155,0.000,0.155
1786421588600,200,0.009,0.000,0.009
1786421589601,200,0.008,0.000,0.008
1786421590601,200,0.009,0.000,0.009
1786421591601,200,0.009,0.000,0.008
1786421592601,200,0.012,0.000,0.012
1786421593601,200,0.007,0.000,0.007
1786421594601,200,0.046,0.000,0.046
1786421595601,200,0.011,0.000,0.011
1786421596601,200,0.121,0.000,0.121
1786421597601,200,0.013,0.000,0.012
1786421598602,200,0.007,0.000,0.007
1786421599602,200,0.116,0.000,0.116
1786421600602,200,0.026,0.000,0.026
1786421601602,200,1.610,0.000,1.610
1786421603212,200,0.246,0.000,0.246
1786421604212,200,0.105,0.000,0.105
1786421605212,200,0.012,0.000,0.012
1786421606212,200,2.095,0.000,2.095
1786421608307,200,2.101,0.000,2.101
1786421610408,200,0.913,0.000,0.913
1786421611408,200,1.220,0.000,1.220
1786421612628,200,0.719,0.000,0.719
1786421613628,200,1.693,0.000,1.692
1786421615321,200,1.619,0.000,1.619
1786421616940,200,0.011,0.000,0.011
1786421617940,200,0.012,0.000,0.012
1786421618940,200,0.037,0.000,0.037
1786421619940,200,0.116,0.000,0.116
1786421620940,200,0.010,0.000,0.009
1786421621940,200,0.008,0.000,0.008
1786421622941,200,0.011,0.000,0.011
1786421623941,200,0.015,0.000,0.015
1786421624941,200,0.008,0.000,0.008
1786421625941,200,0.009,0.000,0.009
1786421626941,200,0.008,0.000,0.008
1786421627941,200,0.008,0.000,0.008
1786421628941,200,0.099,0.000,0.099
1786421629941,200,0.019,0.000,0.019
1786421630941,200,0.132,0.000,0.132
1786421631941,200,0.009,0.000,0.009
1786421632941,200,0.009,0.000,0.009
1786421633942,200,0.011,0.000,0.011
1786421634942,200,0.018,0.000,0.018
1786421635942,200,0.023,0.000,0.023
1786421636942,200,0.012,0.000,0.012
1786421637942,200,0.154,0.000,0.154
1786421638942,200,0.038,0.000,0.038
1786421639942,200,0.040,0.000,0.040
1786421640942,200,0.008,0.000,0.008
1786421641942,200,0.014,0.000,0.014
1786421642943,200,0.011,0.000,0.011
1786421643943,200,0.013,0.000,0.013
1786421644943,200,0.008,0.000,0.008
1786421645943,200,0.012,0.000,0.012
1786421646943,200,0.009,0.000,0.009
1786421647943,200,0.018,0.000,0.018
1786421648943,200,0.007,0.000,0.007
1786421649943,200,0.058,0.000,0.058
1786421650943,200,0.023,0.000,0.023
1786421651944,200,0.007,0.000,0.007
1786421652944,200,0.099,0.000,0.099
1786421653944,200,0.085,0.000,0.085
1786421654944,200,0.022,0.000,0.022
1786421655944,200,0.037,0.000,0.037
1786421656944,200,0.010,0.000,0.010
1786421657944,200,0.021,0.000,0.021
1786421658944,200,0.008,0.000,0.008
1786421659944,200,4.068,0.000,4.068
1786421664012,200,1.589,0.000,1.589
1786421665602,200,2.463,0.000,2.463
1786421668065,200,1.662,0.000,1.662
1786421669727,200,0.006,0.000,0.006
1786421670727,200,0.008,0.000,0.008
1786421671727,200,1.141,0.000,1.141
1786421672868,200,0.009,0.000,0.009
1786421673868,200,0.013,0.000,0.013
1786421674869,200,0.011,0.000,0.011
1786421675869,200,0.016,0.000,0.016
1786421676869,200,0.012,0.000,0.012
1786421677869,200,0.015,0.000,0.015
1786421678869,200,0.043,0.000,0.043
1786421679869,200,0.012,0.000,0.012
1786421680869,200,0.019,0.000,0.019
1786421681869,200,0.008,0.000,0.008
1786421682869,200,0.098,0.000,0.098
1786421683869,200,0.165,0.000,0.165
1786421684870,200,0.025,0.000,0.025
1786421685870,200,0.035,0.000,0.035
1786421686870,200,0.012,0.000,0.012
1786421687870,200,0.007,0.000,0.007
1786421688870,200,0.041,0.000,0.041
1786421689870,200,0.009,0.000,0.009
1786421690870,200,0.023,0.000,0.023
1786421691870,200,0.028,0.000,0.028
1786421692870,200,0.010,0.000,0.010
1786421693870,200,0.011,0.000,0.011
1786421694871,200,0.010,0.000,0.010
1786421695871,200,0.081,0.000,0.081
1786421696871,200,0.008,0.000,0.008
1786421697871,200,0.024,0.000,0.024
1786421698871,200,0.013,0.000,0.013
1786421699871,200,0.068,0.000,0.068
1786421700871,200,0.021,0.000,0.021
1786421701871,200,0.026,0.000,0.026
1786421702871,200,0.011,0.000,0.011
1786421703871,200,0.030,0.000,0.030
1786421704872,200,0.047,0.000,0.047
1786421705872,200,0.007,0.000,0.007
1786421706872,200,0.024,0.000,0.024
1786421707872,200,0.011,0.000,0.011
1786421708872,200,0.115,0.000,0.115
1786421709872,200,0.014,0.000,0.014
1786421710872,200,0.621,0.000,0.621
1786421711872,200,2.122,0.000,2.122
1786421713994,200,0.792,0.000,0.792
1786421714994,200,1.647,0.000,1.647
1786421716641,200,1.078,0.000,1.078
1786421717719,200,0.779,0.000,0.779
1786421718719,200,0.691,0.000,0.691
1786421719719,200,0.937,0.000,0.937
1786421720719,200,0.014,0.000,0.014
1786421721719,200,0.049,0.000,0.049
1786421722719,200,0.008,0.000,0.007
1786421723720,200,0.008,0.000,0.008
1786421724720,200,0.018,0.000,0.018
1786421725720,200,0.014,0.000,0.014
