epoch_ms,endpoint,http_code,total_s,bytes,regime_lab_status
1786421912530,/api/research/regime-lab?view=pooled,200,0.193,13307,absent
1786421914724,/api/research/regime-lab?view=pooled,200,0.097,13307,absent
1786421916820,/api/research/regime-lab?view=pooled,200,0.222,13307,absent
1786421919043,/api/research/regime-lab?view=pooled,200,0.038,13307,absent
1786421921081,/api/research/regime-lab?view=pooled,200,0.047,13307,absent
1786421923129,/api/research/regime-lab?view=pooled,200,0.010,13307,absent
1786421925139,/api/research/regime-lab?view=pooled,200,0.131,13307,absent
1786421927270,/api/research/regime-lab?view=pooled,200,0.042,13307,absent
1786421929312,/api/research/regime-lab?view=pooled,200,0.122,13307,absent
1786421931434,/api/research/regime-lab?view=pooled,200,0.187,13307,absent
1786421933622,/api/research/regime-lab?view=pooled,200,0.231,13307,absent
1786421935853,/api/research/regime-lab?view=pooled,200,0.091,13307,absent
1786421937944,/api/research/regime-lab?view=pooled,200,0.153,13307,absent
1786421940098,/api/research/regime-lab?view=pooled,200,0.064,13307,absent
1786421942162,/api/research/regime-lab?view=pooled,200,0.105,13307,absent
1786421944267,/api/research/regime-lab?view=pooled,200,0.070,13307,absent
1786421946337,/api/research/regime-lab?view=pooled,200,0.085,13307,absent
1786421948422,/api/research/regime-lab?view=pooled,200,0.127,13307,absent
1786421950549,/api/research/regime-lab?view=pooled,200,0.094,13307,absent
1786421952643,/api/research/regime-lab?view=pooled,200,0.168,13307,absent
1786421954811,/api/research/regime-lab?view=pooled,200,0.135,13307,absent
1786421956945,/api/research/regime-lab?view=pooled,200,0.145,13307,absent
1786421959091,/api/research/regime-lab?view=pooled,200,0.054,13307,absent
1786421961145,/api/research/regime-lab?view=pooled,200,0.090,13307,absent
1786421963235,/api/research/regime-lab?view=pooled,200,0.090,13307,absent
1786421965325,/api/research/regime-lab?view=pooled,200,0.059,13307,absent
1786421967384,/api/research/regime-lab?view=pooled,200,0.048,13307,absent
1786421969433,/api/research/regime-lab?view=pooled,200,0.145,13307,absent
1786421971577,/api/research/regime-lab?view=pooled,200,0.010,13307,absent
1786421973587,/api/research/regime-lab?view=pooled,200,0.101,13307,absent
1786421975688,/api/research/regime-lab?view=pooled,200,0.054,13307,absent
1786421977742,/api/research/regime-lab?view=pooled,200,0.126,13307,absent
1786421979868,/api/research/regime-lab?view=pooled,200,0.096,13307,absent
1786421981964,/api/research/regime-lab?view=pooled,200,0.075,13307,absent
1786421984039,/api/research/regime-lab?view=pooled,200,0.141,13307,absent
1786421986180,/api/research/regime-lab?view=pooled,200,0.099,13307,absent
1786421988279,/api/research/regime-lab?view=pooled,200,0.053,13307,absent
1786421990332,/api/research/regime-lab?view=pooled,200,0.073,13307,absent
1786421992406,/api/research/regime-lab?view=pooled,200,0.097,13307,absent
1786421994503,/api/research/regime-lab?view=pooled,200,0.117,13307,absent
1786421996620,/api/research/regime-lab?view=pooled,200,0.227,13307,absent
1786421998847,/api/research/regime-lab?view=pooled,200,0.070,13307,absent
1786422000918,/api/research/regime-lab?view=pooled,200,0.123,13307,absent
1786422003041,/api/research/regime-lab?view=pooled,200,0.085,13307,absent
1786422005125,/api/research/regime-lab?view=pooled,200,0.139,13307,absent
1786422007265,/api/research/regime-lab?view=pooled,200,0.068,13307,absent
1786422009333,/api/research/regime-lab?view=pooled,200,0.148,13307,absent
1786422011481,/api/research/regime-lab?view=pooled,200,0.033,13307,absent
1786422013514,/api/research/regime-lab?view=pooled,200,0.088,13307,absent
1786422015602,/api/research/regime-lab?view=pooled,200,0.105,13307,absent
1786422017707,/api/research/regime-lab?view=pooled,200,0.089,13307,absent
1786422019797,/api/research/regime-lab?view=pooled,200,0.079,13307,absent
1786422021876,/api/research/regime-lab?view=pooled,200,0.153,13307,absent
1786422024029,/api/research/regime-lab?view=pooled,200,0.055,13307,absent
1786422026083,/api/research/regime-lab?view=pooled,200,0.120,13307,absent
1786422028204,/api/research/regime-lab?view=pooled,200,0.101,13307,absent
1786422030305,/api/research/regime-lab?view=pooled,200,0.081,13307,absent
1786422032386,/api/research/regime-lab?view=pooled,200,0.143,13307,absent
1786422034530,/api/research/regime-lab?view=pooled,200,0.199,13307,absent
1786422036729,/api/research/regime-lab?view=pooled,200,0.101,13307,absent
1786422038830,/api/research/regime-lab?view=pooled,200,0.007,13307,absent
1786422040837,/api/research/regime-lab?view=pooled,200,0.182,13307,absent
1786422043019,/api/research/regime-lab?view=pooled,200,0.072,13307,absent
1786422045091,/api/research/regime-lab?view=pooled,200,0.086,13307,absent
1786422047177,/api/research/regime-lab?view=pooled,200,0.054,13307,absent
1786422049231,/api/research/regime-lab?view=pooled,200,0.093,13307,absent
1786422051325,/api/research/regime-lab?view=pooled,200,0.080,13307,absent
1786422053405,/api/research/regime-lab?view=pooled,200,0.119,13307,absent
1786422055524,/api/research/regime-lab?view=pooled,200,0.037,13307,absent
1786422057561,/api/research/regime-lab?view=pooled,200,0.059,13307,absent
1786422059620,/api/research/regime-lab?view=pooled,200,0.048,13307,absent
1786422061668,/api/research/regime-lab?view=pooled,200,0.115,13307,absent
1786422063783,/api/research/regime-lab?view=pooled,200,0.086,13307,absent
1786422065869,/api/research/regime-lab?view=pooled,200,0.064,13307,absent
1786422067933,/api/research/regime-lab?view=pooled,200,0.031,13307,absent
1786422069964,/api/research/regime-lab?view=pooled,200,0.163,13307,absent
1786422072128,/api/research/regime-lab?view=pooled,200,0.043,13307,absent
1786422074171,/api/research/regime-lab?view=pooled,200,0.137,13307,absent
1786422076308,/api/research/regime-lab?view=pooled,200,0.048,13307,absent
1786422078356,/api/research/regime-lab?view=pooled,200,0.024,13307,absent
1786422080380,/api/research/regime-lab?view=pooled,200,0.128,13307,absent
1786422082509,/api/research/regime-lab?view=pooled,200,0.038,13307,absent
1786422084547,/api/research/regime-lab?view=pooled,200,0.083,13307,absent
1786422086631,/api/research/regime-lab?view=pooled,200,0.363,13307,absent
1786422088994,/api/research/regime-lab?view=pooled,200,0.568,13307,absent
1786422091562,/api/research/regime-lab?view=pooled,200,0.210,13307,absent
1786422093773,/api/research/regime-lab?view=pooled,200,0.181,13307,absent
1786422095953,/api/research/regime-lab?view=pooled,200,0.262,13307,absent
1786422098215,/api/research/regime-lab?view=pooled,200,0.147,13307,absent
1786422100362,/api/research/regime-lab?view=pooled,200,0.140,13307,absent
1786422102503,/api/research/regime-lab?view=pooled,200,0.138,13307,absent
1786422104641,/api/research/regime-lab?view=pooled,200,0.169,13307,absent
1786422106810,/api/research/regime-lab?view=pooled,200,0.601,13307,absent
1786422109411,/api/research/regime-lab?view=pooled,200,0.128,13307,absent
1786422111539,/api/research/regime-lab?view=pooled,200,0.143,13307,absent
1786422113682,/api/research/regime-lab?view=pooled,200,0.101,13307,absent
1786422115783,/api/research/regime-lab?view=pooled,200,0.146,13307,absent
