iso_utc,elapsed_s,label,pid,VmPeak_kB,VmSize_kB,VmRSS_kB,readiness
2026-09-01T05:26:57.661941+00:00,0.00,after,2271693,1098724,1035236,449384,initializing
2026-09-01T05:26:58.722219+00:00,1.01,after,2271693,1098724,1047524,481716,initializing
2026-09-01T05:26:59.730345+00:00,2.07,after,2271693,1098724,1059812,512040,initializing
2026-09-01T05:27:00.737484+00:00,3.08,after,2271693,1141736,1141736,596768,initializing
2026-09-01T05:27:01.743048+00:00,4.09,after,2271693,1246184,1246184,700504,initializing
2026-09-01T05:27:02.747852+00:00,5.09,after,2271693,1346536,1346536,799404,initializing
2026-09-01T05:27:03.753223+00:00,6.10,after,2271693,1424360,1424360,876524,initializing
2026-09-01T05:27:04.758078+00:00,7.10,after,2271693,1601516,1539048,990524,initializing
2026-09-01T05:27:05.908176+00:00,8.11,after,2271693,1603560,1603560,1053240,initializing
2026-09-01T05:27:07.118818+00:00,9.26,after,2271693,1669468,1669468,1119364,initializing
2026-09-01T05:27:08.341721+00:00,10.47,after,2271693,1727836,1727836,1177568,initializing
2026-09-01T05:27:09.573634+00:00,11.69,after,2271693,1781084,1781084,1231596,initializing
2026-09-01T05:27:10.611648+00:00,12.92,after,2271693,1834332,1834332,1284196,initializing
2026-09-01T05:27:11.659084+00:00,13.96,after,2271693,1882460,1882460,1332512,initializing
2026-09-01T05:27:12.665035+00:00,15.01,after,2271693,2155872,2048348,1498016,initializing
2026-09-01T05:27:13.830805+00:00,16.02,after,2271693,2155872,2080092,1529724,initializing
2026-09-01T05:27:15.124036+00:00,17.18,after,2271693,2155872,2128220,1576412,initializing
2026-09-01T05:27:16.132129+00:00,18.47,after,2271693,2178396,2178396,1626152,initializing
2026-09-01T05:27:17.407910+00:00,19.48,after,2271693,2208092,2208092,1655836,initializing
2026-09-01T05:27:18.414359+00:00,20.76,after,2271693,2259040,2259040,1689040,initializing
2026-09-01T05:27:19.417680+00:00,21.76,after,2271693,2297952,2297952,1727328,initializing
2026-09-01T05:27:20.431758+00:00,22.77,after,2271693,2304096,2304096,1733944,initializing
2026-09-01T05:27:21.436706+00:00,23.78,after,2271693,2304096,2304096,1733948,initializing
2026-09-01T05:27:22.441834+00:00,24.79,after,2271693,2304096,2304096,1733952,initializing
2026-09-01T05:27:23.446589+00:00,25.79,after,2271693,2304096,2304096,1733964,initializing
2026-09-01T05:27:25.470109+00:00,26.80,after,2271693,2304096,2304096,1734300,initializing
2026-09-01T05:27:26.476696+00:00,28.82,after,2271693,2304096,1839180,1270904,ready
2026-09-01T05:27:27.480535+00:00,29.83,after,2271693,2304096,1839180,1270904,ready
2026-09-01T05:27:28.484996+00:00,30.83,after,2271693,2467888,2467888,1337360,ready
2026-09-01T05:27:29.489635+00:00,31.84,after,2271693,2467888,2467888,1337360,ready
2026-09-01T05:27:30.494143+00:00,32.84,after,2271693,2467888,2467888,1337360,ready
2026-09-01T05:27:31.499016+00:00,33.84,after,2271693,2467888,2467888,1337360,ready
2026-09-01T05:27:32.503889+00:00,34.85,after,2271693,2467888,2467888,1337360,ready
2026-09-01T05:27:33.509181+00:00,35.85,after,2271693,2467888,2467888,1337360,ready
2026-09-01T05:27:34.512643+00:00,36.86,after,2271693,2467888,2467888,1337360,ready
2026-09-01T05:27:35.516822+00:00,37.86,after,2271693,2467888,2467888,1337360,ready
2026-09-01T05:27:36.520524+00:00,38.87,after,2271693,2467888,2467888,1337360,ready
2026-09-01T05:27:37.524443+00:00,39.87,after,2271693,2467888,2467888,1337360,ready
2026-09-01T05:27:38.529945+00:00,40.87,after,2271693,2467888,2467888,1337360,ready
2026-09-01T05:27:39.534192+00:00,41.88,after,2271693,2467888,2221796,1336988,ready
2026-09-01T05:27:40.538106+00:00,42.88,after,2271693,2467888,2221796,1336988,ready
2026-09-01T05:27:41.542346+00:00,43.89,after,2271693,2467888,2221796,1336988,ready
2026-09-01T05:27:42.547242+00:00,44.89,after,2271693,2467888,2188988,1336932,ready
2026-09-01T05:27:43.551411+00:00,45.90,after,2271693,2467888,1893716,1336436,ready
2026-09-01T05:27:44.557300+00:00,46.90,after,2271693,2467888,1893716,1336436,ready
2026-09-01T05:27:45.561554+00:00,47.91,after,2271693,2467888,1893716,1336436,ready
2026-09-01T05:27:46.565532+00:00,48.91,after,2271693,2467888,1893716,1336436,ready
2026-09-01T05:27:47.569418+00:00,49.92,after,2271693,2467888,1893716,1336436,ready
2026-09-01T05:27:48.583222+00:00,50.92,after,2271693,2467888,1269388,665756,ready
2026-09-01T05:27:49.587243+00:00,51.93,after,2271693,2467888,1250956,647468,ready
2026-09-01T05:27:50.590739+00:00,52.94,after,2271693,2467888,1250956,647468,ready
