epoch,http_code,time_total
1785368809.132601969,200,0.147259
1785368810.293130894,200,0.203278
1785368811.509342584,200,0.188457
1785368812.712750329,200,0.184631
1785368813.911764784,200,0.171791
1785368815.097102582,200,0.199894
1785368816.312536525,200,0.287917
1785368817.616696487,200,0.135706
1785368818.765768498,200,0.136052
1785368819.914803112,200,0.137265
1785368821.067960750,200,0.111411
1785368822.192525752,200,0.139018
1785368823.345503852,200,0.125496
1785368824.484228637,200,0.176098
1785368825.675585279,200,0.167788
1785368826.859310548,200,0.140602
1785368828.013710747,200,0.877172
1785368829.906227651,200,0.143598
1785368831.063076272,200,0.144148
1785368832.222108491,200,0.138346
1785368833.374995663,200,0.135293
1785368834.524819885,200,0.155797
1785368835.695095394,200,0.136532
1785368836.846179588,200,0.142081
1785368838.002536547,200,0.138318
1785368839.154441688,200,0.136719
1785368840.304364942,200,0.133900
1785368841.452564703,200,0.112288
1785368842.580615822,200,0.111097
1785368843.705181636,200,0.106995
1785368844.827197681,200,0.106680
1785368845.948985196,200,0.105149
1785368847.068046519,200,0.108303
1785368848.189486056,200,0.112904
1785368849.315776956,200,0.107637
1785368850.436864797,200,0.106350
1785368851.556423564,200,0.110986
1785368852.680524524,200,0.106662
1785368853.801342751,200,0.110628
1785368854.925619725,200,0.115754
1785368856.054932930,200,0.105792
1785368857.174278235,200,0.107552
1785368858.296479700,200,0.110118
1785368859.419842386,200,0.109235
1785368860.543065266,200,0.108769
1785368861.667516910,200,0.114518
1785368862.796146681,200,0.112316
1785368863.923231707,200,0.127911
1785368865.066609451,200,0.117007
1785368866.198271426,200,0.112669
1785368867.326737950,200,0.114679
1785368868.456235874,200,0.114463
1785368869.585455177,200,0.112542
1785368870.711852702,200,0.107887
1785368871.833665274,200,0.118522
1785368872.967923643,200,0.114239
1785368874.096297875,200,0.109892
1785368875.220367248,200,0.105510
1785368876.340962566,200,0.113600
1785368877.468825630,200,0.113699
1785368878.598533299,200,0.109484
1785368879.723857094,200,0.112589
1785368880.850109052,200,0.112032
1785368881.976696234,200,0.107047
1785368883.096987114,200,0.112741
1785368884.222529059,200,0.108591
1785368885.345172625,200,0.105303
1785368886.465877004,200,0.110065
1785368887.590104527,200,0.109423
1785368888.714279675,200,0.109234
1785368889.839311674,200,0.118019
1785368890.972621262,200,0.109778
1785368892.096055189,200,0.116871
1785368893.225951995,200,0.112101
1785368894.350811187,200,0.117881
1785368895.483056773,200,0.108615
1785368896.607090450,200,0.108124
1785368897.730249243,200,0.112060
1785368898.857084451,200,0.111220
1785368899.982986216,200,0.107425
1785368901.105664065,200,0.109118
1785368902.227880739,200,0.107472
1785368903.349015957,200,0.107229
1785368904.470675178,200,0.110045
1785368905.594633667,200,0.109991
1785368906.718475002,200,0.109204
1785368907.840992296,200,0.109803
1785368908.964138916,200,0.116355
1785368910.094510022,200,0.110037
1785368911.219887195,200,0.105663
1785368912.340288507,200,0.112531
1785368913.467984796,200,0.118956
1785368914.604195357,200,0.116148
1785368915.733964118,200,0.106090
1785368916.854423236,200,0.112663
1785368917.982433901,200,0.112524
1785368919.108746460,200,0.115142
1785368920.238152686,200,0.109874
1785368921.363014593,200,0.109226
1785368922.487481936,200,0.108398
