elapsed_s,health_http_status,health_latency_s,vmpeak_kb,vmhwm_kb,job_status,phase
0.0,200,1.3344,2407048,1867244,running,pre_terminal
2.507,200,1.2277,2407048,1867244,running,pre_terminal
4.849,200,1.7282,2407048,1867244,running,pre_terminal
7.605,200,0.1253,2407048,1867244,running,pre_terminal
8.733,200,1.2165,2407048,1867244,running,pre_terminal
11.126,200,0.3252,2407048,1867244,running,pre_terminal
12.454,200,1.4136,2407048,1867244,running,pre_terminal
15.114,200,0.1497,2407048,1867244,running,pre_terminal
16.265,200,1.0564,2407048,1867244,running,pre_terminal
18.491,200,0.5739,2407048,1867244,running,pre_terminal
20.066,200,1.6317,2407048,1867244,running,pre_terminal
22.803,200,0.1556,2407048,1867244,running,pre_terminal
23.96,200,1.6762,2407048,1867244,running,pre_terminal
26.746,200,0.42,2407048,1867244,running,pre_terminal
28.276,200,0.639,2407048,1867244,running,pre_terminal
29.916,200,0.2947,2407048,1867244,running,pre_terminal
31.212,200,0.2514,2407048,1867244,running,pre_terminal
32.465,200,0.1412,2407048,1867244,running,pre_terminal
33.607,200,0.1555,2407048,1867244,running,pre_terminal
34.764,200,0.6391,2408712,1869488,running,pre_terminal
36.404,200,0.2646,2408712,1869488,running,pre_terminal
37.67,200,0.1599,2408712,1870136,running,pre_terminal
38.831,200,0.1351,2408712,1870136,running,pre_terminal
39.967,200,0.1372,2408712,1870136,running,pre_terminal
41.106,200,0.4154,2445812,1907116,running,pre_terminal
42.522,200,0.1751,2445812,1907116,running,pre_terminal
43.698,200,0.3135,2446836,1908112,running,pre_terminal
45.013,200,0.2607,2446836,1908124,running,pre_terminal
46.275,200,0.1667,2446836,1908124,running,pre_terminal
47.443,200,0.1225,2446836,1906924,ok,pre_terminal
48.567,200,0.1309,2446836,1906924,ok,post_terminal
49.699,200,0.1196,2446836,1906924,ok,post_terminal
50.82,200,0.1157,2446836,1906924,ok,post_terminal
51.937,200,0.1275,2446836,1906924,ok,post_terminal
53.066,200,0.1153,2446836,1906924,ok,post_terminal
54.183,200,0.0961,2446836,1906924,ok,post_terminal
55.281,200,0.0939,2446836,1906924,ok,post_terminal
56.376,200,0.0906,2446836,1906924,ok,post_terminal
57.468,200,0.0958,2446836,1906924,ok,post_terminal
58.565,200,0.0978,2446836,1906924,ok,post_terminal
59.664,200,0.0899,2446836,1906924,ok,post_terminal
60.755,200,0.096,2446836,1906924,ok,post_terminal
61.852,200,0.0915,2446836,1906924,ok,post_terminal
62.945,200,0.0937,2446836,1906924,ok,post_terminal
64.04,200,0.0912,2446836,1906924,ok,post_terminal
65.133,200,0.093,2446836,1906924,ok,post_terminal
66.227,200,0.0915,2446836,1906924,ok,post_terminal
67.32,200,0.0942,2446836,1906924,ok,post_terminal
68.416,200,0.0908,2446836,1906924,ok,post_terminal
69.508,200,0.0965,2446836,1906924,ok,post_terminal
70.605,200,0.0917,2446836,1906924,ok,post_terminal
71.698,200,0.096,2446836,1906924,ok,post_terminal
72.796,200,0.0949,2446836,1906924,ok,post_terminal
73.892,200,0.0928,2446836,1906924,ok,post_terminal
74.985,200,0.0911,2446836,1906924,ok,post_terminal
76.078,200,0.0948,2446836,1906924,ok,post_terminal
77.174,200,0.092,2446836,1906924,ok,post_terminal
78.267,200,0.0961,2446836,1906924,ok,post_terminal
