epoch_ms,endpoint,http_code,total_s,bytes
1786159177105,/api/research/factor-lab?all=true,200,0.229,117993
1786159179334,/api/research/factor-combination,200,0.008,4856
1786159181341,/api/research/factor-lab?all=true,200,0.085,117993
1786159183427,/api/research/factor-combination,200,0.292,4856
1786159185719,/api/research/factor-lab?all=true,200,0.075,117993
1786159187793,/api/research/factor-combination,200,0.098,4856
1786159189891,/api/research/factor-lab?all=true,200,0.037,117993
1786159191928,/api/research/factor-combination,200,0.465,4856
1786159194393,/api/research/factor-lab?all=true,200,0.010,117993
1786159196403,/api/research/factor-combination,200,0.006,4856
1786159198410,/api/research/factor-lab?all=true,200,0.079,117993
1786159200488,/api/research/factor-combination,200,0.103,4856
1786159202592,/api/research/factor-lab?all=true,200,0.090,117993
1786159204682,/api/research/factor-combination,200,0.089,4856
1786159206771,/api/research/factor-lab?all=true,200,0.094,117993
1786159208865,/api/research/factor-combination,200,0.063,4856
1786159210928,/api/research/factor-lab?all=true,200,0.075,117993
1786159213003,/api/research/factor-combination,200,0.047,4856
1786159215050,/api/research/factor-lab?all=true,200,0.389,117993
1786159217438,/api/research/factor-combination,200,0.373,4856
1786159219812,/api/research/factor-lab?all=true,200,0.405,117993
1786159222217,/api/research/factor-combination,200,0.543,4856
1786159224760,/api/research/factor-lab?all=true,200,0.161,117993
1786159226921,/api/research/factor-combination,200,0.072,4856
1786159228993,/api/research/factor-lab?all=true,200,0.112,117993
1786159231105,/api/research/factor-combination,200,0.005,4856
1786159233110,/api/research/factor-lab?all=true,200,0.009,117993
1786159235119,/api/research/factor-combination,200,0.344,4856
1786159237463,/api/research/factor-lab?all=true,200,0.132,117993
1786159239595,/api/research/factor-combination,200,0.084,4856
1786159241680,/api/research/factor-lab?all=true,200,0.073,117993
1786159243753,/api/research/factor-combination,200,0.043,4856
1786159245795,/api/research/factor-lab?all=true,200,0.018,117993
1786159247814,/api/research/factor-combination,200,0.027,4856
1786159249841,/api/research/factor-lab?all=true,200,0.065,117993
1786159251907,/api/research/factor-combination,200,0.106,4856
1786159254012,/api/research/factor-lab?all=true,200,0.044,117993
1786159256056,/api/research/factor-combination,200,0.005,4856
1786159258061,/api/research/factor-lab?all=true,200,0.060,117993
1786159260121,/api/research/factor-combination,200,0.008,4856
1786159262129,/api/research/factor-lab?all=true,200,0.009,117993
1786159264138,/api/research/factor-combination,200,0.046,4856
1786159266184,/api/research/factor-lab?all=true,200,0.059,117993
1786159268243,/api/research/factor-combination,200,0.022,4856
1786159270265,/api/research/factor-lab?all=true,200,0.015,117993
1786159272280,/api/research/factor-combination,200,0.028,4856
1786159274308,/api/research/factor-lab?all=true,200,0.018,117993
1786159276326,/api/research/factor-combination,200,0.008,4856
1786159278335,/api/research/factor-lab?all=true,200,0.024,117993
1786159280359,/api/research/factor-combination,200,0.011,4856
1786159282369,/api/research/factor-lab?all=true,200,0.009,117993
1786159284378,/api/research/factor-combination,200,0.013,4856
1786159286391,/api/research/factor-lab?all=true,200,0.100,117993
1786159288491,/api/research/factor-combination,200,0.582,4856
1786159291073,/api/research/factor-lab?all=true,200,0.009,117993
1786159293082,/api/research/factor-combination,200,0.008,4856
1786159295091,/api/research/factor-lab?all=true,200,0.064,117993
1786159297155,/api/research/factor-combination,200,0.048,4856
1786159299204,/api/research/factor-lab?all=true,200,0.012,117993
1786159301215,/api/research/factor-combination,200,0.008,4856
1786159303224,/api/research/factor-lab?all=true,200,0.012,117993
