timestamp,http_status,elapsed_s,breach_over_2s,load_avg_1m
2026-08-12T17:52:42.673366+00:00,200,0.019,0,1.45751953125
2026-08-12T17:52:43.673488+00:00,200,0.005,0,1.45751953125
2026-08-12T17:52:44.673573+00:00,200,0.129,0,1.42041015625
2026-08-12T17:52:45.673682+00:00,200,0.115,0,1.42041015625
2026-08-12T17:52:46.673790+00:00,200,0.072,0,1.42041015625
2026-08-12T17:52:47.673859+00:00,200,0.076,0,1.42041015625
2026-08-12T17:52:48.673972+00:00,200,0.097,0,1.42041015625
2026-08-12T17:52:49.674080+00:00,200,0.117,0,1.38671875
2026-08-12T17:52:50.674190+00:00,200,0.006,0,1.38671875
2026-08-12T17:52:51.674312+00:00,200,0.091,0,1.38671875
2026-08-12T17:52:52.674382+00:00,200,0.071,0,1.38671875
2026-08-12T17:52:53.674491+00:00,200,0.189,0,1.38671875
2026-08-12T17:52:54.674601+00:00,200,0.097,0,1.35546875
2026-08-12T17:52:55.674709+00:00,200,0.075,0,1.35546875
2026-08-12T17:52:56.674816+00:00,200,0.099,0,1.35546875
2026-08-12T17:52:57.674927+00:00,200,0.096,0,1.35546875
2026-08-12T17:52:58.675012+00:00,200,0.043,0,1.35546875
2026-08-12T17:52:59.675119+00:00,200,0.004,0,1.32666015625
2026-08-12T17:53:00.675225+00:00,200,0.166,0,1.32666015625
2026-08-12T17:53:01.675354+00:00,200,0.141,0,1.32666015625
2026-08-12T17:53:02.675461+00:00,200,0.032,0,1.32666015625
2026-08-12T17:53:03.675568+00:00,200,0.061,0,1.32666015625
2026-08-12T17:53:04.675651+00:00,200,0.058,0,1.30029296875
2026-08-12T17:53:05.675720+00:00,200,0.06,0,1.30029296875
2026-08-12T17:53:06.675803+00:00,200,0.004,0,1.30029296875
2026-08-12T17:53:07.675877+00:00,200,0.118,0,1.30029296875
2026-08-12T17:53:08.675994+00:00,200,0.078,0,1.30029296875
2026-08-12T17:53:09.676107+00:00,200,0.23,0,1.27587890625
2026-08-12T17:53:10.676217+00:00,200,0.129,0,1.27587890625
2026-08-12T17:53:11.676349+00:00,200,0.098,0,1.27587890625
2026-08-12T17:53:12.676458+00:00,200,0.098,0,1.27587890625
2026-08-12T17:53:13.676532+00:00,200,0.092,0,1.27587890625
2026-08-12T17:53:14.676654+00:00,200,0.089,0,1.333984375
2026-08-12T17:53:15.676764+00:00,200,0.084,0,1.333984375
