epoch,worker,http_code,time_total_s,evidence_status,evidence_asof
1784896828,1,200,1.087944,ready,2026-07-22
1784896828,4,200,1.095904,ready,2026-07-22
1784896828,6,200,1.135934,ready,2026-07-22
1784896828,5,200,1.232648,ready,2026-07-22
1784896828,3,200,1.253707,ready,2026-07-22
1784896828,2,200,1.271776,ready,2026-07-22
1784896829,4,200,1.164523,ready,2026-07-22
1784896829,1,200,1.188142,ready,2026-07-22
1784896829,2,200,1.025604,ready,2026-07-22
1784896829,6,200,1.169710,ready,2026-07-22
1784896829,5,200,1.084976,ready,2026-07-22
1784896829,3,200,1.074980,ready,2026-07-22
1784896830,4,200,1.072415,ready,2026-07-22
1784896830,1,200,1.072207,ready,2026-07-22
1784896830,2,200,1.064227,ready,2026-07-22
1784896830,5,200,1.055044,ready,2026-07-22
1784896830,6,200,1.077539,ready,2026-07-22
1784896830,3,200,1.071403,ready,2026-07-22
1784896831,1,200,1.052647,ready,2026-07-22
1784896831,4,200,1.074692,ready,2026-07-22
1784896831,6,200,1.036143,ready,2026-07-22
1784896831,3,200,1.033192,ready,2026-07-22
1784896831,5,200,1.068064,ready,2026-07-22
1784896831,2,200,1.086021,ready,2026-07-22
1784896832,6,200,1.013240,ready,2026-07-22
1784896832,1,200,1.046178,ready,2026-07-22
1784896832,4,200,1.048773,ready,2026-07-22
1784896832,3,200,1.039284,ready,2026-07-22
1784896832,2,200,1.036453,ready,2026-07-22
1784896832,5,200,1.049410,ready,2026-07-22
1784896833,1,200,1.023625,ready,2026-07-22
1784896833,4,200,1.040091,ready,2026-07-22
1784896833,6,200,1.067356,ready,2026-07-22
1784896833,3,200,1.040783,ready,2026-07-22
1784896833,2,200,1.037537,ready,2026-07-22
1784896833,5,200,1.055809,ready,2026-07-22
1784896834,1,200,1.055140,ready,2026-07-22
1784896834,4,200,1.060687,ready,2026-07-22
1784896834,5,200,1.031991,ready,2026-07-22
1784896834,6,200,1.074022,ready,2026-07-22
1784896834,2,200,1.067519,ready,2026-07-22
1784896834,3,200,1.083254,ready,2026-07-22
1784896835,4,200,1.058132,ready,2026-07-22
1784896835,1,200,1.105156,ready,2026-07-22
1784896835,5,200,1.070343,ready,2026-07-22
1784896835,6,200,1.080963,ready,2026-07-22
1784896835,2,200,1.078423,ready,2026-07-22
1784896835,3,200,1.076418,ready,2026-07-22
1784896836,4,200,1.068938,ready,2026-07-22
1784896836,5,200,1.056931,ready,2026-07-22
1784896836,1,200,1.085913,ready,2026-07-22
1784896836,6,200,1.062152,ready,2026-07-22
1784896836,2,200,1.064441,ready,2026-07-22
1784896836,3,200,1.071195,ready,2026-07-22
1784896838,4,200,1.061217,ready,2026-07-22
1784896838,1,200,1.039119,ready,2026-07-22
1784896838,5,200,1.072909,ready,2026-07-22
1784896838,6,200,1.062925,ready,2026-07-22
1784896838,3,200,1.051691,ready,2026-07-22
1784896838,2,200,1.069226,ready,2026-07-22
1784896839,1,200,1.067192,ready,2026-07-22
1784896839,4,200,1.098403,ready,2026-07-22
1784896839,5,200,1.083853,ready,2026-07-22
1784896839,6,200,1.084003,ready,2026-07-22
1784896839,2,200,1.065314,ready,2026-07-22
1784896839,3,200,1.087814,ready,2026-07-22
1784896840,4,200,1.036338,ready,2026-07-22
1784896840,6,200,1.016094,ready,2026-07-22
1784896840,1,200,1.076874,ready,2026-07-22
1784896840,5,200,1.066866,ready,2026-07-22
1784896840,3,200,1.042883,ready,2026-07-22
