epoch_s,http_code,time_total_s
1785366979.291310912,200,0.116617
1785366980.426098333,200,0.113080
1785366981.558040253,200,0.125872
1785366982.704823220,200,0.118921
1785366983.846130912,200,0.114681
1785366984.980705041,200,0.120609
1785366986.119783364,200,0.110373
1785366987.250899108,200,0.109968
1785366988.381261901,200,0.145830
1785366989.544925739,200,0.139822
1785366990.703065481,200,0.119783
1785366991.839862478,200,0.126153
1785366992.984850232,200,0.139595
1785366994.145073456,200,0.203874
1785366995.369588108,200,0.128361
1785366996.517770583,200,0.123438
1785366997.658848864,200,0.130140
1785366998.808471581,200,0.152782
1785366999.981880686,200,0.148724
1785367001.149079098,200,0.116272
1785367002.283791600,200,0.138337
1785367003.438714461,200,0.126168
1785367004.581835961,200,0.165193
1785367005.764755003,200,0.138592
1785367006.920433169,200,1.131795
1785367009.070250865,200,0.146304
1785367010.234847453,200,0.132439
1785367011.385991099,200,0.133332
1785367012.536800884,200,0.116461
1785367013.673627666,200,0.213505
1785367014.905964058,200,0.143709
1785367016.067313448,200,0.132747
1785367017.217840164,200,0.130999
1785367018.366341623,200,0.170295
1785367019.555536018,200,0.133106
1785367020.706188905,200,0.138165
1785367021.862241188,200,0.110769
1785367022.988985131,200,0.568384
1785367024.575331403,200,0.193753
1785367025.788820398,200,0.121673
1785367026.929108159,200,0.169750
1785367028.117236468,200,0.123218
1785367029.259073542,200,0.133582
1785367030.417710777,200,0.145885
1785367031.581927046,200,0.149063
1785367032.748690120,200,0.150175
1785367033.918016775,200,0.126942
1785367035.064806164,200,0.240389
1785367036.323507645,200,0.223900
1785367037.565662730,200,0.134002
1785367038.717486886,200,0.609838
1785367040.344603444,200,0.183128
1785367041.544168024,200,0.124343
1785367042.685480494,200,0.215350
1785367043.919146907,200,0.125168
1785367045.061049170,200,0.119132
1785367046.200050851,200,0.141702
1785367047.359781873,200,0.137384
1785367048.515465008,200,0.123155
1785367049.658298139,200,0.153839
1785367050.830867864,200,0.116712
1785367051.966457075,200,0.119045
1785367053.102471477,200,0.211880
1785367054.333514867,200,0.513867
1785367055.866579419,200,0.151364
1785367057.037598109,200,0.147787
1785367058.201761973,200,0.115310
1785367059.334241329,200,0.130278
1785367060.482264431,200,0.135239
1785367061.633711725,200,0.133666
1785367062.784113692,200,0.155280
1785367063.956593111,200,0.124424
1785367065.099679337,200,0.161498
1785367066.281537342,200,0.204480
1785367067.505953854,200,0.133974
1785367068.656837584,200,0.136756
1785367069.810498790,200,0.138081
1785367070.967463146,200,0.139753
1785367072.125698934,200,0.137140
1785367073.281170552,200,0.107747
1785367074.407234829,200,0.107164
1785367075.532681915,200,0.113644
1785367076.667852639,200,0.109195
1785367077.796170410,200,0.114382
1785367078.929427022,200,0.112644
