ts,http_code,time_total,readiness
2026-08-09T22:30:35,200,0.163486,ready
2026-08-09T22:30:55,200,0.213354,ready
2026-08-09T22:31:16,200,0.299430,ready
2026-08-09T22:31:36,200,0.241741,ready
2026-08-09T22:31:57,200,0.185916,ready
2026-08-09T22:32:18,200,0.213117,ready
2026-08-09T22:32:38,200,0.114333,ready
2026-08-09T22:32:59,200,0.397128,ready
2026-08-09T22:33:20,200,0.157308,ready
2026-08-09T22:33:40,200,0.273034,ready
2026-08-09T22:34:01,200,0.261965,ready
2026-08-09T22:34:22,200,0.222471,ready
2026-08-09T22:34:42,200,0.234826,ready
2026-08-09T22:35:03,200,0.276252,ready
2026-08-09T22:35:24,200,0.646207,ready
2026-08-09T22:35:45,200,0.139257,ready
2026-08-09T22:36:06,200,0.384286,ready
JOB_DONE:ok
