ts,http_code,time_total,readiness
2026-08-09T22:17:58,200,0.352302,ready
2026-08-09T22:18:01,200,0.581698,ready
2026-08-09T22:18:04,200,0.223252,ready
2026-08-09T22:18:07,200,0.428020,ready
2026-08-09T22:18:09,200,0.341852,ready
2026-08-09T22:18:12,200,0.342392,ready
2026-08-09T22:18:15,200,0.182983,ready
2026-08-09T22:18:17,200,0.214383,ready
2026-08-09T22:18:20,200,0.541647,ready
2026-08-09T22:18:23,200,0.436739,ready
2026-08-09T22:18:25,200,0.334723,ready
2026-08-09T22:18:28,200,0.468500,ready
2026-08-09T22:18:31,200,0.605805,ready
2026-08-09T22:18:34,200,0.332341,ready
2026-08-09T22:18:36,200,0.353547,ready
2026-08-09T22:18:40,200,0.672031,ready
2026-08-09T22:18:43,200,0.544551,ready
2026-08-09T22:18:45,200,0.428803,ready
2026-08-09T22:18:48,200,0.930913,ready
2026-08-09T22:18:52,200,0.450374,ready
2026-08-09T22:18:54,200,0.412782,ready
2026-08-09T22:18:57,200,0.425167,ready
2026-08-09T22:18:59,200,0.572290,ready
2026-08-09T22:19:02,200,0.669831,ready
2026-08-09T22:19:05,200,0.487753,ready
2026-08-09T22:19:07,200,0.313201,ready
2026-08-09T22:19:10,200,0.465489,ready
2026-08-09T22:19:13,200,0.490681,ready
2026-08-09T22:19:16,200,0.319761,ready
2026-08-09T22:19:18,200,0.652907,ready
2026-08-09T22:19:21,200,0.663010,ready
2026-08-09T22:19:24,200,0.480643,ready
2026-08-09T22:19:26,200,0.909165,ready
2026-08-09T22:19:29,200,0.717725,ready
2026-08-09T22:19:32,200,0.689584,ready
2026-08-09T22:19:35,200,0.798178,ready
2026-08-09T22:19:38,200,0.636096,ready
2026-08-09T22:19:41,200,0.977644,ready
2026-08-09T22:19:44,200,0.607742,ready
2026-08-09T22:19:47,200,0.438977,ready
2026-08-09T22:19:50,200,0.489441,ready
2026-08-09T22:19:53,200,1.238223,ready
2026-08-09T22:19:56,200,0.554143,ready
2026-08-09T22:20:33,200,0.835134,ready
2026-08-09T22:20:36,200,0.135158,ready
2026-08-09T22:20:40,200,0.761738,ready
2026-08-09T22:20:43,200,1.180912,ready
2026-08-09T22:20:46,200,0.954706,ready
2026-08-09T22:20:50,200,1.236536,ready
2026-08-09T22:20:53,200,1.119594,ready
2026-08-09T22:20:57,200,1.245168,ready
2026-08-09T22:21:00,200,0.673103,ready
2026-08-09T22:21:03,200,0.130463,ready
2026-08-09T22:21:05,200,1.143812,ready
2026-08-09T22:21:09,200,0.134870,ready
2026-08-09T22:21:11,200,0.866351,ready
2026-08-09T22:21:15,200,1.462344,ready
2026-08-09T22:21:18,200,0.147867,ready
2026-08-09T22:21:20,200,1.371782,ready
2026-08-09T22:21:24,200,1.128727,ready
2026-08-09T22:21:28,200,1.054255,ready
2026-08-09T22:21:31,200,1.019534,ready
2026-08-09T22:21:35,200,0.948489,ready
2026-08-09T22:21:38,200,1.136436,ready
2026-08-09T22:21:42,200,0.233962,ready
2026-08-09T22:21:44,200,1.247960,ready
2026-08-09T22:21:48,200,1.555869,ready
2026-08-09T22:21:51,200,1.060899,ready
2026-08-09T22:21:55,200,1.185953,ready
2026-08-09T22:21:58,200,1.088131,ready
2026-08-09T22:22:02,200,0.861234,ready
2026-08-09T22:22:06,200,1.165232,ready
2026-08-09T22:22:10,200,1.607586,ready
2026-08-09T22:22:14,200,0.866421,ready
2026-08-09T22:22:17,200,0.541277,ready
2026-08-09T22:22:20,200,1.714187,ready
2026-08-09T22:22:23,200,1.223550,ready
2026-08-09T22:22:27,200,1.029415,ready
2026-08-09T22:22:31,200,0.211752,ready
2026-08-09T22:22:33,200,0.111609,ready
2026-08-09T22:22:36,200,0.723173,ready
2026-08-09T22:22:39,200,0.115861,ready
2026-08-09T22:22:43,200,0.854876,ready
2026-08-09T22:22:47,200,0.124183,ready
2026-08-09T22:22:50,200,0.763076,ready
2026-08-09T22:22:53,200,0.119469,ready
2026-08-09T22:22:55,200,1.078205,ready
2026-08-09T22:22:59,200,1.065044,ready
2026-08-09T22:23:03,200,1.717600,ready
2026-08-09T22:23:08,200,1.822420,ready
2026-08-09T22:23:13,200,1.106372,ready
2026-08-09T22:24:12,200,0.186336,ready
2026-08-09T22:24:35,200,0.910064,ready
2026-08-09T22:24:57,200,0.464918,ready
2026-08-09T22:25:18,200,0.693862,ready
2026-08-09T22:25:40,200,0.700517,ready
2026-08-09T22:26:02,200,0.155689,ready
2026-08-09T22:26:22,200,1.503301,ready
2026-08-09T22:26:44,200,0.561989,ready
2026-08-09T22:27:05,200,0.598120,ready
2026-08-09T22:27:26,200,0.498213,ready
JOB_DONE:
2026-08-09T22:27:48,200,0.574018,ready
2026-08-09T22:28:09,200,0.288720,ready
2026-08-09T22:28:30,200,0.466757,ready
2026-08-09T22:28:51,200,0.334518,ready
2026-08-09T22:29:12,200,0.415266,ready
2026-08-09T22:29:33,200,0.436608,ready
2026-08-09T22:29:54,200,0.471538,ready
2026-08-09T22:30:14,200,0.136962,ready
