epoch,vmpeak_kb,vmsize_kb,vmrss_kb,vmhwm_kb
1784733550.520,3203720,3203720,2751420,2751420
1784733550.771,3209864,3209864,2757456,2757456
1784733551.021,3213960,3213960,2761244,2761244
1784733551.271,3213960,3213960,2761468,2761468
1784733551.521,3213960,3213960,2761504,2761504
1784733551.771,3223176,3223176,2770276,2770276
1784733552.022,3229320,3229320,2776460,2776460
1784733552.272,3232392,3232392,2779308,2779308
1784733552.522,3232392,3232392,2779312,2779312
1784733552.772,3232392,3232392,2779628,2779628
1784733553.023,3240616,3240616,2787724,2787724
1784733553.273,3249832,3249832,2796580,2796580
1784733553.523,3249832,3249832,2796780,2796780
1784733553.774,3249832,3249832,2796780,2796780
1784733554.024,3249832,3249832,2796796,2796796
1784733554.274,3259048,3259048,2805884,2805884
1784733554.524,3268264,3268264,2814220,2814220
1784733554.775,3268264,3268264,2814220,2814220
1784733555.025,3268264,3268264,2814220,2814220
1784733555.275,3268264,3268264,2814936,2814936
1784733555.525,3275432,3275432,2821996,2821996
1784733555.776,3282632,3282632,2828352,2828352
1784733556.026,3286728,3286728,2832620,2832620
1784733556.276,3286728,3286728,2832632,2832632
1784733556.526,3286728,3286728,2832640,2832640
1784733556.777,3289800,3289800,2835660,2835660
1784733557.027,3296968,3296968,2843184,2843184
1784733557.277,3304136,3304136,2849736,2849736
1784733557.527,3306184,3306184,2851448,2851448
1784733557.778,3306184,3306184,2851452,2851452
1784733558.028,3306184,3306184,2851456,2851456
1784733558.278,3311304,3311304,2857216,2857216
1784733558.528,3317480,3317480,2862404,2862404
1784733558.779,3325672,3325672,2871220,2871220
1784733559.029,3330792,3330792,2875536,2875536
1784733559.279,3330792,3330792,2875536,2875536
1784733559.529,3330792,3330792,2875536,2875536
1784733559.780,3330792,3330792,2875536,2875536
1784733560.030,3330792,3330776,2875548,2875548
1784733560.280,3330792,3330776,2875556,2875556
1784733560.530,3330792,3330776,2875568,2875568
1784733560.781,3334872,3334872,2879808,2879808
1784733561.031,3343080,3343080,2888216,2888216
1784733561.281,3348200,3348200,2893628,2893628
1784733561.531,3353320,3353320,2898556,2898556
1784733561.782,3353320,3353320,2898644,2898644
1784733562.032,3353320,3353320,2898644,2898644
1784733562.282,3353320,3353320,2898660,2898660
1784733562.532,3362568,3362568,2907664,2907664
1784733562.783,3368712,3368712,2913812,2913812
1784733563.033,3373832,3373832,2918480,2918480
1784733563.283,3373832,3373832,2918492,2918492
1784733563.533,3373832,3373832,2918496,2918496
1784733563.784,3373832,3373832,2918660,2918660
1784733564.034,3377928,3377928,2922900,2922900
1784733564.284,3387144,3387144,2931708,2931708
1784733564.534,3394344,3394344,2938660,2938660
1784733564.784,3394344,3394344,2938676,2938676
1784733565.035,3394344,3394344,2938676,2938676
1784733565.285,3394344,3394344,2938676,2938676
1784733565.535,3398440,3398440,2942984,2942984
1784733565.786,3398440,3398440,2944860,2944860
1784733566.036,3398440,3321640,2823864,2944056
1784733566.286,3398440,3321640,2825716,2944056
1784733566.536,3398440,3311400,2818196,2944056
1784733566.787,3398440,3311400,2818360,2944056
1784733567.037,3398440,3311400,2818540,2944056
1784733567.287,3398440,3311400,2818540,2944056
1784733567.537,3398440,3311400,2819840,2944056
1784733567.788,3398440,3311432,2822712,2944056
1784733568.038,3398440,3311432,2826276,2944056
1784733568.288,3398440,3311432,2826904,2944056
1784733568.538,3398440,3311432,2827008,2944056
1784733568.789,3398440,3311432,2827276,2944056
1784733569.039,3398440,3311432,2827276,2944056
1784733569.289,3398440,3311432,2829700,2944056
1784733569.540,3398440,3311432,2832836,2944056
1784733569.790,3398440,3311432,2836128,2944056
1784733570.040,3398440,3311464,2837804,2944056
1784733570.290,3398440,3311464,2837892,2944056
1784733570.540,3398440,3311464,2837892,2944056
1784733570.791,3398440,3311464,2838284,2944056
1784733571.041,3398440,3311464,2840784,2944056
1784733571.291,3398440,3311464,2840784,2944056
1784733571.542,3398440,3311464,2841196,2944056
1784733571.792,3398440,3311464,2844252,2944056
1784733572.042,3398440,3295060,2845780,2944056
1784733572.292,3398440,3295060,2845900,2944056
1784733572.542,3398440,3295060,2846136,2944056
1784733572.793,3398440,3295060,2847872,2944056
1784733573.043,3398440,3311480,2852236,2944056
1784733573.293,3398440,3311496,2852544,2944056
1784733573.543,3398440,3311496,2852544,2944056
1784733573.794,3398440,3311496,2852544,2944056
1784733574.044,3398440,3311496,2854008,2944056
1784733574.294,3398440,3311496,2857564,2944056
1784733574.544,3398440,3311496,2860100,2944056
1784733574.795,3398440,3311496,2860848,2944056
1784733575.045,3398440,3311496,2860920,2944056
1784733575.295,3398440,3311496,2860920,2944056
1784733575.545,3398440,3311496,2861172,2944056
1784733575.796,3398440,3311528,2863836,2944056
1784733576.046,3398440,3311528,2867448,2944056
1784733576.296,3442584,3377064,2869368,2944056
1784733576.547,3442584,3377064,2869492,2944056
1784733576.797,3442584,3377064,2869492,2944056
1784733577.047,3442584,3377064,2869492,2944056
1784733577.298,3442584,3377064,2871552,2944056
1784733577.548,3442584,3377064,2874928,2944056
1784733577.798,3442584,3377064,2874928,2944056
1784733578.049,3442584,3377064,2874928,2944056
1784733578.299,3442584,3377096,2876572,2944056
1784733578.549,3442584,3377096,2879000,2944056
1784733578.799,3442584,3377096,2879020,2944056
1784733579.050,3442584,3377096,2879132,2944056
1784733579.300,3442584,3377096,2879132,2944056
