epoch,tctl_c,gpu_edge_c,ppt_w,ppt_avg_w,nvme_c,dimm0_c,dimm1_c,acpitz_c,load1,mem_avail_mb,swap_free_mb,psi_cpu_avg10,psi_mem_avg10
1784733536,72,47,22,21,40,41,40,20,0.92,18758,28671,0.18,0.00
1784733537,72,51,30,21,40,41,40,20,0.92,18688,28671,0.18,0.00
1784733538,71,47,18,21,40,41,40,20,0.92,18616,28671,0.14,0.00
1784733539,71,52,22,21,39,41,40,20,1.00,18542,28671,0.14,0.00
1784733541,71,48,24,21,39,41,40,20,1.00,18468,28671,0.12,0.00
1784733542,72,49,22,21,39,41,40,20,1.00,18418,28671,0.12,0.00
1784733543,71,52,26,22,39,41,40,20,1.00,18313,28671,0.09,0.00
1784733544,70,52,37,21,39,41,40,20,1.00,18284,28671,0.09,0.00
1784733545,72,49,23,22,40,41,40,20,1.08,18211,28671,0.08,0.00
1784733546,74,47,21,21,39,41,40,20,1.08,18132,28671,0.08,0.00
1784733547,76,47,24,21,40,42,40,20,1.08,18027,28671,0.06,0.00
1784733548,77,53,22,20,39,42,40,20,1.08,18022,28671,0.05,0.00
1784733549,74,48,18,19,39,42,40,20,1.08,18021,28671,0.05,0.00
1784733550,76,47,24,20,39,42,41,20,1.08,18008,28671,0.04,0.00
1784733551,77,47,21,21,39,42,41,20,1.08,17987,28671,0.04,0.00
1784733552,77,47,26,20,39,42,41,20,1.08,17974,28671,0.03,0.00
1784733553,77,47,24,20,39,42,41,20,1.08,17958,28671,0.03,0.00
1784733554,78,50,23,21,39,42,41,20,1.08,17941,28671,0.02,0.00
1784733555,79,47,23,21,39,42,41,20,1.15,17925,28671,0.02,0.00
1784733556,78,47,24,21,39,42,41,20,1.15,17920,28671,0.02,0.00
1784733557,78,47,25,20,39,42,41,20,1.15,17901,28671,0.02,0.00
1784733558,79,51,31,21,39,42,41,20,1.15,17876,28671,0.01,0.00
1784733559,73,47,20,20,39,42,41,20,1.14,17875,28671,0.01,0.00
1784733560,75,50,30,20,39,42,41,20,1.14,17869,28671,0.01,0.00
1784733561,76,46,21,20,39,42,41,20,1.14,17855,28671,0.01,0.00
1784733562,79,48,27,20,39,42,41,20,1.14,17839,28671,0.01,0.00
1784733564,79,47,27,21,39,42,41,20,1.14,17834,28671,0.01,0.00
1784733565,78,48,21,20,39,42,41,20,1.13,17814,28671,0.00,0.00
1784733566,78,47,24,21,40,42,41,20,1.13,17867,28671,0.00,0.00
1784733567,76,48,29,20,39,42,41,20,1.13,17867,28671,0.00,0.00
1784733568,77,48,28,21,39,42,41,20,1.13,17872,28671,0.00,0.00
1784733569,76,50,23,20,39,42,41,20,1.13,17867,28671,0.00,0.00
1784733570,77,47,22,20,39,42,41,20,1.12,17857,28671,0.00,0.00
1784733571,76,47,19,20,39,42,41,20,1.12,17855,28671,0.00,0.00
1784733572,75,47,20,20,39,42,41,20,1.12,17844,28671,0.00,0.00
1784733573,76,47,20,20,39,42,41,20,1.12,17840,28671,0.00,0.00
1784733574,77,46,25,20,39,42,41,20,1.12,17839,28671,0.00,0.00
1784733575,77,47,30,20,39,42,41,20,1.03,17838,28671,0.00,0.00
1784733576,78,47,20,20,39,43,41,20,1.03,17844,28671,0.00,0.00
1784733577,78,48,25,21,39,43,41,20,1.03,17849,28671,0.00,0.00
1784733578,75,48,23,20,39,43,41,20,1.03,17850,28671,0.00,0.00
1784733579,76,49,22,20,39,43,42,20,1.10,17847,28671,0.00,0.00
1784733580,76,49,22,20,39,43,42,20,1.10,17828,28671,0.00,0.00
1784733581,77,49,21,21,39,43,42,20,1.10,17825,28671,0.00,0.00
1784733582,77,47,22,20,39,43,42,20,1.10,17828,28671,0.00,0.00
1784733583,77,49,44,21,39,43,42,20,1.10,17827,28671,0.00,0.00
1784733584,78,50,27,22,39,43,42,20,1.18,17786,28671,0.00,0.00
1784733585,74,48,23,20,39,43,42,20,1.18,17791,28671,0.00,0.00
1784733587,73,48,23,21,39,43,42,20,1.18,17788,28671,0.00,0.00
1784733588,75,49,24,22,39,43,42,20,1.18,17769,28671,0.00,0.00
1784733589,75,47,28,20,39,43,42,20,1.18,17770,28671,0.00,0.00
1784733590,76,50,21,21,39,43,42,20,1.16,17764,28671,0.00,0.00
1784733591,78,47,24,20,39,43,42,20,1.16,17766,28671,0.00,0.00
1784733592,77,47,26,21,39,43,42,20,1.16,17743,28671,0.00,0.00
1784733593,78,48,23,20,39,43,42,20,1.16,17730,28671,0.00,0.00
1784733594,75,47,21,20,39,43,42,20,1.16,17730,28671,0.00,0.00
1784733595,75,47,18,20,39,43,42,20,1.23,17730,28671,0.00,0.00
1784733596,77,50,22,21,39,43,42,20,1.23,17719,28671,0.00,0.00
1784733597,77,47,24,21,39,43,42,20,1.23,17720,28671,0.00,0.00
1784733598,75,48,17,20,39,43,42,20,1.23,17715,28671,0.00,0.00
1784733599,76,47,27,21,39,43,42,20,1.23,17615,28671,0.00,0.00
1784733600,76,46,26,20,39,43,42,20,1.29,17609,28671,0.00,0.00
1784733601,77,47,22,21,40,43,42,20,1.29,17607,28671,0.00,0.00
1784733602,74,47,19,20,39,43,42,20,1.29,17607,28671,0.00,0.00
1784733603,74,48,24,20,39,43,42,20,1.29,17600,28671,0.00,0.00
1784733604,77,50,19,21,39,43,42,20,1.27,17599,28671,0.00,0.00
1784733605,77,46,22,20,39,43,42,20,1.27,17598,28671,0.00,0.00
1784733606,77,48,23,21,39,43,42,20,1.27,17588,28671,0.00,0.00
1784733607,75,48,21,20,39,43,42,20,1.27,17580,28671,0.00,0.00
1784733608,77,47,23,21,39,43,42,20,1.27,17576,28671,0.00,0.00
1784733610,75,47,21,20,40,43,42,20,1.33,17574,28671,0.00,0.00
1784733611,76,47,24,21,39,43,42,20,1.33,17565,28671,0.00,0.00
1784733612,76,47,23,20,39,43,42,20,1.33,17562,28671,0.00,0.00
1784733613,74,47,23,20,39,43,42,20,1.33,17549,28671,0.00,0.00
1784733614,73,47,20,20,39,43,42,20,1.33,17548,28671,0.00,0.00
1784733615,74,52,22,21,39,43,42,20,1.38,17536,28671,0.00,0.00
1784733616,76,46,22,20,39,43,42,20,1.38,17535,28671,0.00,0.00
1784733617,75,49,21,20,39,43,42,20,1.38,17538,28671,0.00,0.00
1784733618,75,47,23,21,39,43,42,20,1.38,17540,28671,0.00,0.00
1784733619,79,48,25,21,39,43,42,20,1.38,17535,28671,0.00,0.00
1784733620,78,46,20,20,39,43,42,20,1.35,17533,28671,0.00,0.00
1784733621,79,46,28,20,40,43,42,20,1.35,17535,28671,0.00,0.00
1784733622,76,47,20,20,39,43,42,20,1.35,17533,28671,0.00,0.00
1784733623,76,48,22,20,39,43,42,20,1.35,17535,28671,0.00,0.00
1784733624,73,46,18,19,39,43,42,20,1.40,17526,28671,0.00,0.00
1784733625,72,49,29,20,39,43,42,20,1.40,17528,28671,0.00,0.00
1784733626,75,47,21,20,39,43,42,20,1.40,17530,28671,0.00,0.00
1784733627,75,45,22,20,39,43,42,20,1.40,17530,28671,0.00,0.00
1784733628,74,47,27,20,39,43,42,20,1.40,17532,28671,0.00,0.00
1784733629,77,47,27,21,39,43,42,20,1.37,17532,28671,0.00,0.00
1784733630,75,45,19,20,39,43,42,20,1.37,17532,28671,0.00,0.00
1784733631,77,47,22,21,39,43,42,20,1.37,17527,28671,0.00,0.00
1784733633,76,51,21,21,39,43,42,20,1.37,17505,28671,0.00,0.00
1784733634,76,47,21,21,39,43,42,20,1.37,17513,28671,0.00,0.00
1784733635,78,45,21,20,39,43,42,20,1.34,17612,28671,0.00,0.00
1784733636,72,47,20,18,39,43,42,20,1.34,17602,28671,0.00,0.00
1784733637,74,46,20,19,39,43,42,20,1.34,17589,28671,0.00,0.00
1784733638,75,45,20,19,39,43,42,20,1.34,17581,28671,0.00,0.00
1784733639,74,47,21,19,39,43,42,20,1.34,17561,28671,0.00,0.00
1784733640,75,46,23,20,39,43,42,20,1.31,17560,28671,0.00,0.00
1784733641,76,48,30,20,39,43,42,20,1.31,17476,28671,0.00,0.00
1784733642,74,46,28,19,39,43,42,20,1.31,17481,28671,0.00,0.00
1784733643,75,47,27,19,39,43,42,20,1.31,17459,28671,0.00,0.00
1784733644,76,48,21,20,39,43,42,20,1.31,17424,28671,0.00,0.00
1784733645,75,47,26,19,39,43,42,20,1.29,17419,28671,0.00,0.00
1784733646,74,47,19,20,39,43,42,20,1.29,17402,28671,0.00,0.00
1784733647,77,48,23,21,39,43,42,20,1.29,17419,28671,0.00,0.00
1784733648,76,48,23,21,39,43,42,20,1.29,17409,28671,0.00,0.00
1784733649,77,46,31,21,39,43,42,20,1.26,17415,28671,0.00,0.00
1784733650,75,47,30,20,39,43,42,20,1.26,17413,28671,0.00,0.00
1784733651,74,47,22,21,39,43,42,20,1.26,17401,28671,0.00,0.00
1784733652,75,46,21,20,39,43,42,20,1.26,17386,28671,0.00,0.00
1784733654,71,48,31,19,39,43,42,20,1.26,17368,28671,0.00,0.00
1784733655,72,45,21,19,39,43,42,20,1.24,17344,28671,0.00,0.00
1784733656,72,45,22,19,39,43,42,20,1.24,17340,28671,0.00,0.00
1784733657,76,46,28,20,39,43,42,20,1.24,17346,28613,0.00,0.00
1784733658,74,46,23,19,39,43,42,20,1.24,17345,28613,0.00,0.00
1784733659,76,45,23,19,39,43,42,20,1.24,17337,28613,0.00,0.00
1784733660,74,45,28,19,39,43,42,20,1.22,17340,28613,0.00,0.00
1784733661,70,46,21,20,39,43,43,20,1.22,17512,28613,0.00,0.00
1784733662,68,46,21,20,39,43,43,20,1.22,17506,28613,0.00,0.00
1784733663,71,44,21,19,40,43,43,20,1.22,17576,28613,0.00,0.00
1784733664,71,49,29,19,40,44,43,20,1.22,17600,28613,0.00,0.00
1784733665,70,45,19,19,39,44,43,20,1.37,17599,28613,0.00,0.00
1784733666,73,43,10,19,40,44,43,20,1.37,17599,28613,0.00,0.00
1784733667,72,45,22,18,39,44,43,20,1.37,17597,28613,0.00,0.00
1784733668,74,45,20,19,39,44,43,20,1.37,17601,28613,0.00,0.00
1784733669,76,44,21,19,40,44,43,20,1.34,17610,28613,0.00,0.00
1784733670,73,45,34,19,39,44,43,20,1.34,17616,28613,0.00,0.00
1784733671,75,45,21,20,39,44,43,20,1.34,17622,28613,0.00,0.00
1784733672,77,43,10,19,40,44,43,20,1.34,17620,28613,0.00,0.00
1784733673,74,46,22,19,39,44,43,20,1.34,17625,28613,0.00,0.00
1784733674,76,46,25,20,39,44,43,20,1.31,17628,28613,0.00,0.00
1784733675,75,46,25,19,40,44,43,20,1.31,17629,28613,0.00,0.00
1784733676,71,47,22,18,39,43,43,20,1.31,17637,28613,0.00,0.00
1784733678,74,46,24,19,39,43,43,20,1.31,17640,28613,0.00,0.00
1784733679,75,43,13,19,40,43,43,20,1.31,17644,28613,0.00,0.00
1784733680,73,47,26,18,39,43,43,20,1.28,17642,28613,0.00,0.00
1784733681,71,46,23,19,39,43,43,20,1.28,17646,28613,0.00,0.00
1784733682,73,44,21,18,40,43,43,20,1.28,17646,28613,0.00,0.00
1784733683,72,47,19,18,39,43,43,20,1.28,17647,28613,0.00,0.00
1784733684,74,44,21,19,40,43,43,20,1.28,17648,28613,0.00,0.00
1784733685,74,43,23,19,40,43,43,20,1.26,17653,28613,0.00,0.00
1784733686,74,46,22,18,39,43,43,20,1.26,17651,28613,0.00,0.00
1784733687,74,45,21,19,39,43,43,20,1.26,17651,28613,0.00,0.00
1784733688,75,44,22,19,40,43,43,20,1.26,17650,28613,0.00,0.00
1784733689,77,43,23,19,40,43,43,20,1.26,17652,28613,0.00,0.00
1784733690,75,45,22,19,40,43,43,20,1.24,17655,28613,0.00,0.00
1784733691,76,44,22,19,39,43,43,20,1.24,17653,28613,0.00,0.00
1784733692,76,44,26,19,40,43,43,20,1.24,17651,28613,0.00,0.00
1784733693,73,43,21,18,40,43,43,20,1.24,17654,28613,0.00,0.00
1784733694,71,46,20,19,39,43,43,20,1.24,17657,28613,0.00,0.00
1784733695,70,46,21,19,39,43,43,20,1.14,17656,28613,0.00,0.00
1784733696,73,44,20,18,40,43,43,20,1.14,17656,28613,0.00,0.00
1784733697,72,50,33,19,39,43,43,20,1.14,17659,28613,0.00,0.00
1784733698,73,44,21,19,39,43,43,20,1.14,17674,28613,0.00,0.00
1784733699,72,44,25,19,39,43,43,20,1.13,17673,28613,0.00,0.00
1784733700,74,46,25,18,40,43,43,20,1.13,17674,28613,0.00,0.00
1784733701,73,49,20,19,39,43,43,20,1.13,17673,28613,0.00,0.00
1784733702,71,43,26,18,40,43,43,20,1.13,17673,28613,0.00,0.00
1784733703,71,46,26,19,39,43,43,20,1.13,17675,28613,0.00,0.00
1784733705,73,44,21,19,39,43,43,20,1.12,17676,28613,0.00,0.00
1784733706,73,44,21,19,39,43,43,20,1.12,17675,28613,0.00,0.00
1784733707,74,45,21,18,40,43,43,20,1.12,17674,28613,0.00,0.00
1784733708,73,43,23,18,39,43,43,20,1.12,17672,28613,0.00,0.00
1784733709,71,45,18,19,39,43,43,20,1.12,17670,28613,0.00,0.00
1784733710,74,44,22,18,39,43,43,20,1.11,17668,28613,0.00,0.00
1784733711,72,46,28,19,39,43,43,20,1.11,17668,28613,0.00,0.00
1784733712,71,45,21,18,39,43,43,20,1.11,17670,28613,0.00,0.00
1784733713,70,47,21,18,39,43,43,20,1.11,17668,28613,0.00,0.00
1784733714,73,44,19,19,41,43,43,20,1.26,17671,28613,0.00,0.00
1784733715,67,46,22,17,39,43,43,20,1.26,17670,28613,0.00,0.00
1784733716,71,44,26,18,39,43,43,20,1.26,17671,28613,0.00,0.00
1784733718,75,43,19,19,40,43,43,20,1.26,17671,28613,0.00,0.00
1784733719,74,46,21,18,39,43,42,20,1.26,17673,28613,0.00,0.00
1784733720,74,45,27,19,39,43,42,20,1.24,17674,28613,0.00,0.00
1784733721,72,45,18,19,39,43,42,20,1.24,17674,28613,0.00,0.00
1784733722,74,43,21,18,40,43,42,20,1.24,17674,28613,0.00,0.00
1784733723,72,44,21,19,39,43,42,20,1.24,17676,28613,0.00,0.00
1784733724,72,44,20,19,39,43,42,20,1.24,17676,28613,0.00,0.00
1784733725,72,45,19,19,39,43,42,20,1.22,17675,28613,0.00,0.00
1784733726,75,44,25,19,40,43,42,20,1.22,17675,28613,0.00,0.00
1784733727,73,50,27,19,40,43,42,20,1.22,17670,28613,0.00,0.00
1784733728,73,51,39,20,39,43,42,20,1.22,17670,28613,0.00,0.00
1784733729,74,44,20,19,39,43,42,20,1.22,17672,28613,0.00,0.00
1784733730,73,46,31,19,39,43,42,20,1.20,17671,28613,0.00,0.00
1784733731,72,48,19,18,39,43,42,20,1.20,17669,28613,0.00,0.00
1784733732,72,47,22,19,39,43,43,20,1.20,17670,28613,0.00,0.00
1784733733,71,45,22,19,39,43,42,20,1.20,17668,28613,0.00,0.00
1784733734,73,43,17,19,40,43,42,20,1.20,17667,28613,0.00,0.00
1784733735,70,47,26,19,39,43,42,20,1.27,17666,28613,0.00,0.00
1784733736,74,44,20,19,39,43,42,20,1.27,17667,28613,0.00,0.00
1784733737,73,44,22,19,39,43,42,20,1.27,17667,28613,0.00,0.00
1784733738,76,44,21,19,40,43,42,20,1.27,17667,28613,0.00,0.00
1784733739,72,47,26,20,39,43,42,20,1.24,17664,28613,0.00,0.00
1784733740,71,44,22,19,39,43,42,20,1.24,17663,28613,0.00,0.00
1784733741,72,43,11,19,40,43,42,20,1.24,17662,28613,0.00,0.00
1784733743,73,47,29,19,40,43,42,20,1.24,17662,28613,0.00,0.00
1784733744,69,46,24,19,39,43,42,20,1.24,17657,28613,0.00,0.00
1784733745,70,45,25,20,40,43,42,20,1.22,17662,28613,0.00,0.00
1784733746,73,43,21,19,40,43,42,20,1.22,17664,28613,0.00,0.00
1784733747,72,45,20,18,40,43,42,20,1.22,17664,28613,0.00,0.00
1784733748,71,47,23,19,39,43,42,20,1.22,17661,28613,0.00,0.00
1784733749,69,50,31,20,39,43,42,20,1.22,17658,28613,0.00,0.00
1784733750,71,44,17,19,39,43,42,20,1.21,17657,28613,0.00,0.00
1784733751,74,43,17,18,40,43,42,20,1.21,17658,28613,0.00,0.00
1784733752,71,45,25,19,39,43,42,20,1.21,17661,28613,0.00,0.00
1784733753,72,46,22,19,39,43,42,20,1.21,17660,28613,0.00,0.00
1784733754,70,44,21,19,40,43,42,20,1.21,17663,28613,0.00,0.00
1784733755,74,45,26,19,40,43,42,20,1.19,17662,28613,0.00,0.00
1784733756,71,44,21,19,39,43,42,20,1.19,17662,28613,0.00,0.00
1784733757,73,45,24,20,39,43,42,20,1.19,17665,28613,0.00,0.00
1784733758,71,44,20,20,40,43,42,20,1.19,17675,28613,0.00,0.00
1784733759,74,45,21,19,40,43,42,20,1.19,17675,28613,0.00,0.00
1784733760,72,44,27,19,39,43,42,20,1.17,17672,28613,0.00,0.00
1784733761,72,46,18,19,39,43,42,20,1.17,17672,28613,0.00,0.00
1784733762,71,43,21,19,39,43,42,20,1.17,17670,28613,0.00,0.00
1784733763,74,45,29,19,39,43,42,20,1.17,17663,28613,0.00,0.00
1784733764,71,46,21,19,39,43,42,20,1.24,17663,28613,0.00,0.00
1784733765,71,47,20,20,39,43,42,20,1.24,17663,28613,0.00,0.00
1784733766,72,43,22,19,39,43,42,20,1.24,17664,28613,0.00,0.00
1784733767,75,45,22,19,40,43,42,20,1.24,17663,28613,0.00,0.00
1784733769,73,45,20,20,40,43,42,20,1.24,17665,28613,0.00,0.00
1784733770,69,47,28,19,39,43,42,20,1.30,17663,28613,0.00,0.00
1784733771,72,45,21,19,39,43,42,20,1.30,17666,28613,0.00,0.00
1784733772,74,44,21,20,39,43,42,20,1.30,17669,28613,0.00,0.00
1784733773,76,44,22,20,40,43,42,20,1.30,17668,28613,0.00,0.00
1784733774,71,46,23,19,39,43,42,20,1.30,17670,28613,0.00,0.00
1784733775,72,45,28,19,39,43,42,20,1.28,17669,28613,0.00,0.00
1784733776,74,43,21,19,39,43,42,20,1.28,17669,28613,0.00,0.00
1784733777,76,43,25,20,40,43,42,20,1.28,17663,28613,0.00,0.00
1784733778,71,46,23,19,39,43,42,20,1.28,17662,28613,0.00,0.00
1784733779,73,45,19,20,39,43,42,20,1.28,17661,28613,0.00,0.00
1784733780,75,45,27,19,39,43,42,20,1.25,17660,28613,0.00,0.00
1784733781,76,43,20,19,39,43,42,20,1.25,17663,28613,0.00,0.00
1784733782,71,45,22,18,39,43,42,20,1.25,17665,28613,0.00,0.00
1784733783,72,44,22,19,39,43,42,20,1.25,17667,28613,0.00,0.00
1784733784,72,44,20,20,39,43,42,20,1.25,17663,28613,0.00,0.00
1784733785,75,43,21,19,40,43,42,20,1.39,17665,28613,0.00,0.00
1784733786,72,46,28,19,39,43,42,20,1.39,17665,28613,0.00,0.00
1784733787,71,46,22,20,39,43,42,20,1.39,17660,28613,0.00,0.00
1784733788,69,47,20,19,39,43,42,20,1.39,17660,28613,0.00,0.00
1784733789,66,46,29,19,39,43,42,20,1.28,17659,28613,0.00,0.00
1784733790,64,46,21,19,39,43,42,20,1.28,17660,28613,0.00,0.00
1784733791,67,46,20,19,39,43,42,20,1.28,17661,28613,0.00,0.00
1784733793,67,50,37,19,40,43,42,20,1.28,17663,28613,0.00,0.00
1784733794,67,46,29,19,39,43,42,20,1.28,17660,28613,0.00,0.00
1784733795,70,43,20,19,39,43,42,20,1.42,17660,28613,0.00,0.00
1784733796,71,44,21,19,39,43,42,20,1.42,17661,28613,0.00,0.00
1784733797,73,46,23,19,39,43,42,20,1.42,17663,28613,0.00,0.00
1784733798,72,44,18,19,39,43,42,20,1.42,17664,28613,0.00,0.00
1784733799,73,44,22,19,39,43,42,20,1.42,17666,28613,0.00,0.00
1784733800,74,44,20,19,39,43,42,20,1.55,17667,28613,0.00,0.00
1784733801,75,45,29,19,39,43,42,20,1.55,17666,28613,0.00,0.00
1784733802,75,44,22,19,39,43,42,20,1.55,17666,28613,0.00,0.00
1784733803,74,44,25,19,39,43,42,20,1.55,17665,28613,0.00,0.00
1784733804,73,46,22,19,39,43,42,20,1.55,17667,28613,0.00,0.00
1784733805,73,46,21,19,39,43,42,20,1.50,17665,28613,0.00,0.00
1784733806,74,44,24,19,39,43,43,20,1.50,17665,28613,0.00,0.00
1784733807,74,44,24,19,39,43,42,20,1.50,17664,28613,0.00,0.00
1784733808,74,44,22,19,39,43,42,20,1.50,17663,28613,0.00,0.00
1784733809,73,45,22,19,39,43,42,20,1.46,17662,28613,0.00,0.00
1784733810,74,44,21,19,39,43,43,20,1.46,17663,28613,0.00,0.00
1784733811,75,44,19,19,39,43,43,20,1.46,17664,28613,0.00,0.00
1784733812,76,43,24,19,40,43,43,20,1.46,17661,28613,0.00,0.00
1784733813,76,43,22,18,40,43,42,20,1.46,17663,28613,0.00,0.00
1784733814,78,43,23,19,40,43,42,20,1.43,17667,28613,0.00,0.00
1784733815,78,43,27,19,40,43,42,20,1.43,17665,28613,0.00,0.00
1784733816,78,44,22,19,40,43,42,20,1.43,17662,28613,0.00,0.00
1784733818,73,44,20,19,40,43,42,20,1.43,17660,28613,0.00,0.00
1784733819,71,43,14,17,40,43,42,20,1.39,17657,28613,0.00,0.00
1784733820,69,47,24,18,40,43,42,20,1.39,18472,28613,0.00,0.00
1784733821,74,43,22,19,39,43,42,20,1.39,19524,28613,0.00,0.00
1784733822,75,44,18,19,39,43,42,20,1.39,19485,28613,0.00,0.00
1784733823,76,44,18,19,39,43,42,20,1.39,19341,28613,0.00,0.00
1784733825,77,44,20,19,39,43,42,20,1.36,19305,28613,0.00,0.00
1784733826,77,43,20,19,39,43,42,20,1.36,19146,28613,0.00,0.00
1784733827,77,47,24,19,39,43,42,20,1.36,19043,28613,0.00,0.00
1784733828,76,43,21,19,39,43,42,20,1.36,18833,28613,0.00,0.00
1784733829,77,43,21,19,39,43,42,20,1.36,18692,28613,0.00,0.00
1784733830,79,43,29,20,39,43,42,20,1.41,18436,28613,0.00,0.00
1784733831,76,45,17,19,39,43,42,20,1.41,18327,28613,0.00,0.00
1784733832,73,45,22,20,39,43,42,20,1.41,18328,28613,0.00,0.00
1784733833,69,45,20,19,39,43,42,20,1.41,18324,28613,0.00,0.00
1784733834,68,47,26,20,39,43,42,20,1.41,18244,28613,0.00,0.00
1784733835,67,46,30,21,39,43,42,20,1.38,18228,28613,0.00,0.00
1784733836,66,46,20,20,39,43,43,20,1.38,18227,28613,0.00,0.00
1784733837,66,46,21,20,39,43,43,20,1.38,18229,28613,0.00,0.00
1784733838,66,47,32,19,39,43,43,20,1.38,18625,28613,0.00,0.00
1784733839,72,44,27,19,39,43,43,20,1.38,18636,28613,0.00,0.00
1784733840,74,44,19,18,39,43,43,20,1.51,18641,28613,0.00,0.00
1784733841,76,43,28,18,39,43,43,20,1.51,18648,28613,0.00,0.00
1784733842,78,44,21,19,39,43,43,20,1.51,18655,28613,0.00,0.00
1784733843,77,43,21,19,39,43,43,20,1.51,18588,28613,0.00,0.00
1784733844,79,43,22,19,39,43,43,20,1.47,18449,28613,0.00,0.00
1784733845,79,43,20,19,39,43,43,20,1.47,18312,28613,0.00,0.00
1784733846,79,44,26,19,39,43,43,20,1.47,18264,28613,0.00,0.00
1784733848,79,43,23,19,39,43,43,20,1.47,18083,28613,0.00,0.00
1784733849,78,44,21,20,39,43,43,20,1.47,17983,28613,0.00,0.00
1784733850,80,48,29,20,39,43,43,20,1.43,17988,28613,0.00,0.00
1784733851,77,44,20,20,39,43,43,20,1.43,17898,28613,0.00,0.00
1784733852,79,45,24,20,39,43,43,20,1.43,17943,28613,0.00,0.00
1784733853,80,49,28,19,39,43,43,20,1.43,17902,28613,0.00,0.00
1784733854,76,44,21,19,39,43,43,20,1.43,17802,28613,0.00,0.00
1784733855,78,45,26,20,39,43,43,20,1.48,17790,28613,0.00,0.00
1784733856,79,43,20,20,39,43,43,20,1.48,17802,28613,0.00,0.00
1784733857,77,43,22,19,39,43,43,20,1.48,17804,28613,0.00,0.00
1784733858,79,43,25,19,39,43,43,20,1.48,17819,28613,0.00,0.00
1784733859,80,43,17,19,39,43,42,20,1.48,17796,28613,0.00,0.00
1784733860,78,44,22,19,39,43,42,20,1.44,17796,28613,0.00,0.00
1784733861,80,43,19,19,39,43,42,20,1.44,17795,28613,0.00,0.00
1784733862,81,43,32,19,39,43,42,20,1.44,17794,28613,0.00,0.00
1784733863,79,43,24,19,39,43,42,20,1.44,17793,28613,0.00,0.00
1784733864,79,44,16,19,39,43,42,20,1.44,17800,28613,0.00,0.00
1784733865,79,44,23,19,39,43,42,20,1.56,17891,28613,0.00,0.00
1784733866,78,45,22,20,39,43,42,20,1.56,17819,28613,0.00,0.00
1784733867,76,47,24,20,39,43,42,20,1.56,17793,28613,0.00,0.00
1784733868,79,43,20,19,38,43,42,20,1.56,17913,28613,0.00,0.00
1784733869,76,43,20,19,39,43,42,20,1.52,17814,28613,0.00,0.00
1784733870,78,43,23,19,39,43,42,20,1.52,17792,28613,0.00,0.00
1784733871,79,44,23,19,39,43,42,20,1.52,17801,28613,0.00,0.00
1784733873,78,47,30,20,39,43,42,20,1.52,17795,28613,0.00,0.00
1784733874,77,44,19,19,39,43,42,20,1.52,17752,28613,0.00,0.00
1784733875,79,44,27,19,39,43,42,20,1.48,17792,28613,0.00,0.00
1784733876,80,43,20,19,39,43,42,20,1.48,17877,28613,0.00,0.00
1784733877,77,44,19,19,39,43,42,20,1.48,17741,28613,0.00,0.00
1784733878,79,43,21,19,39,43,42,20,1.48,17806,28613,0.00,0.00
1784733879,76,43,22,19,39,43,42,20,1.48,17795,28613,0.00,0.00
1784733880,78,43,21,19,39,43,42,20,1.60,17727,28613,0.00,0.00
1784733881,78,45,23,19,39,43,42,20,1.60,17777,28613,0.00,0.00
