epoch,tctl_c,gpu_edge_c,ppt_w,ppt_avg_w,nvme_c,dimm0_c,dimm1_c,acpitz_c,load1,mem_avail_mb,swap_free_mb,psi_cpu_avg10,psi_mem_avg10
1784733511,41,38,4,3,40,40,38,20,0.04,20779,28671,0.00,0.00
1784733512,46,49,33,8,40,40,38,20,0.04,20707,28671,0.00,0.00
1784733513,54,43,21,14,41,40,38,20,0.04,20697,28671,0.00,0.00
1784733515,69,46,24,19,40,40,38,20,0.36,20378,28671,0.00,0.00
1784733516,70,46,24,21,40,40,39,20,0.36,20012,28671,0.00,0.00
1784733517,69,48,21,22,40,40,39,20,0.36,19940,28671,0.00,0.00
1784733518,67,45,25,21,40,40,39,20,0.36,19867,28671,0.00,0.00
1784733519,68,47,28,20,40,40,39,20,0.49,19757,28671,0.00,0.00
1784733521,68,51,30,21,40,40,39,20,0.49,19674,28671,0.00,0.00
1784733522,69,50,24,21,40,40,39,20,0.49,19613,28671,0.00,0.00
1784733523,69,47,20,21,39,40,39,20,0.49,19526,28671,0.00,0.00
1784733524,69,47,19,21,40,40,39,20,0.49,19442,28671,0.00,0.00
1784733525,68,48,25,20,40,40,39,20,0.53,19432,28671,0.00,0.00
1784733526,69,47,18,20,40,40,39,20,0.53,19421,28671,0.00,0.00
1784733527,70,51,24,21,40,41,39,20,0.53,19394,28671,0.00,0.00
1784733528,70,47,24,21,40,41,39,20,0.53,19380,28671,0.00,0.00
1784733529,70,51,23,21,39,41,39,20,0.53,19305,28671,0.00,0.00
1784733530,71,48,25,21,40,41,40,20,0.65,19243,28671,0.00,0.00
1784733531,71,52,24,22,40,41,40,20,0.65,19159,28671,0.00,0.00
1784733532,70,50,24,22,40,41,40,20,0.65,19086,28671,0.00,0.00
1784733533,70,47,20,21,39,41,40,20,0.65,19012,28671,0.00,0.00
1784733534,72,48,26,21,40,41,40,20,0.92,18906,28671,0.00,0.00
1784733535,72,52,22,22,40,41,40,20,0.92,18839,28671,0.00,0.00
