epoch,http_code,time_total_s,evidence_status,generated_at
1784840094,200,0.166640,ready,2026-07-23T14:44:52.882242
1784840100,200,0.300358,ready,2026-07-23T14:44:52.882242
1784840105,200,0.472549,ready,2026-07-23T14:44:52.882242
1784840110,200,0.283298,refreshing,2026-07-23T14:44:52.882242
1784840116,200,0.219474,refreshing,2026-07-23T14:44:52.882242
1784840121,200,11.408275,refreshing,2026-07-23T14:44:52.882242
1784840137,200,12.654708,refreshing,2026-07-23T14:44:52.882242
1784840155,200,3.686274,refreshing,2026-07-23T14:44:52.882242
1784840164,200,0.219696,refreshing,2026-07-23T14:44:52.882242
1784840169,200,0.715667,refreshing,2026-07-23T14:44:52.882242
1784840175,200,0.316577,refreshing,2026-07-23T14:44:52.882242
1784840180,200,3.446195,refreshing,2026-07-23T14:44:52.882242
1784840189,200,0.253069,refreshing,2026-07-23T14:44:52.882242
1784840194,200,4.230452,refreshing,2026-07-23T14:44:52.882242
1784840203,200,0.278111,refreshing,2026-07-23T14:44:52.882242
1784840209,200,4.343874,refreshing,2026-07-23T14:44:52.882242
1784840218,200,0.307254,refreshing,2026-07-23T14:44:52.882242
1784840223,200,4.362999,refreshing,2026-07-23T14:44:52.882242
1784840233,200,0.311589,refreshing,2026-07-23T14:44:52.882242
1784840238,200,4.400791,ready,2026-07-23T20:57:22.711666
1784840247,200,0.262392,ready,2026-07-23T20:57:22.711666
1784840253,200,0.214217,ready,2026-07-23T20:57:22.711666
1784840258,200,0.240398,ready,2026-07-23T20:57:22.711666
1784840263,200,0.150623,ready,2026-07-23T20:57:22.711666
1784840268,200,0.253027,ready,2026-07-23T20:57:22.711666
1784840274,200,1.614819,ready,2026-07-23T20:57:22.711666
1784840280,200,0.360224,ready,2026-07-23T20:57:22.711666
1784840286,200,0.228943,ready,2026-07-23T20:57:22.711666
1784840291,200,0.351286,ready,2026-07-23T20:57:22.711666
1784840296,200,0.297917,ready,2026-07-23T20:57:22.711666
1784840302,200,0.242854,ready,2026-07-23T20:57:22.711666
1784840307,200,0.238474,ready,2026-07-23T20:57:22.711666
1784840312,200,1.489870,ready,2026-07-23T20:57:22.711666
1784840319,200,0.308833,ready,2026-07-23T20:57:22.711666
1784840324,200,0.193220,ready,2026-07-23T20:57:22.711666
1784840329,200,0.190309,ready,2026-07-23T20:57:22.711666
1784840335,200,0.943384,ready,2026-07-23T20:57:22.711666
1784840341,200,0.749549,ready,2026-07-23T20:57:22.711666
1784840346,200,0.215227,ready,2026-07-23T20:57:22.711666
1784840352,200,0.187054,ready,2026-07-23T20:57:22.711666
1784840357,200,0.166967,ready,2026-07-23T20:57:22.711666
1784840362,200,3.303079,ready,2026-07-23T20:57:22.711666
1784840370,200,0.452297,ready,2026-07-23T20:57:22.711666
1784840376,200,0.321275,ready,2026-07-23T20:57:22.711666
1784840381,200,0.307419,ready,2026-07-23T20:57:22.711666
1784840387,200,0.288231,ready,2026-07-23T20:57:22.711666
1784840392,200,0.371575,ready,2026-07-23T20:57:22.711666
1784840397,200,0.334657,ready,2026-07-23T20:57:22.711666
1784840403,200,0.318193,ready,2026-07-23T20:57:22.711666
1784840408,200,0.378487,ready,2026-07-23T20:57:22.711666
1784840413,200,0.338090,ready,2026-07-23T20:57:22.711666
1784840419,200,0.567905,ready,2026-07-23T20:57:22.711666
1784840424,200,4.272608,ready,2026-07-23T20:57:22.711666
1784840434,200,0.327773,ready,2026-07-23T20:57:22.711666
1784840439,200,0.312337,ready,2026-07-23T20:57:22.711666
1784840444,200,0.335486,ready,2026-07-23T20:57:22.711666
1784840450,200,0.231834,ready,2026-07-23T20:57:22.711666
1784840455,200,0.259589,ready,2026-07-23T20:57:22.711666
1784840460,200,0.301466,ready,2026-07-23T20:57:22.711666
1784840466,200,0.263982,ready,2026-07-23T20:57:22.711666
1784840471,200,0.150417,ready,2026-07-23T20:57:22.711666
1784840476,200,0.171022,ready,2026-07-23T20:57:22.711666
1784840481,200,0.121416,ready,2026-07-23T20:57:22.711666
1784840486,200,0.131741,ready,2026-07-23T20:57:22.711666
1784840492,200,0.136062,ready,2026-07-23T20:57:22.711666
1784840497,200,0.134202,ready,2026-07-23T20:57:22.711666
1784840502,200,0.129284,ready,2026-07-23T20:57:22.711666
1784840507,200,0.122686,ready,2026-07-23T20:57:22.711666
