epoch_s,http_code,time_total_s
1785403861.816092225,200,0.117959
1785403862.951629910,200,0.111480
1785403864.082871464,200,0.113251
1785403865.216893151,200,0.115738
1785403866.350138441,200,0.112093
1785403867.483060127,200,0.111746
1785403868.614769419,200,0.110532
1785403869.743474722,200,0.137811
1785403870.898145233,200,0.132453
1785403872.050909118,200,0.132374
1785403873.201473187,200,0.120700
1785403874.338858081,200,0.178814
1785403875.533484754,200,0.119106
1785403876.670397873,200,0.118306
1785403877.806542583,200,0.131927
1785403878.955645542,200,0.194328
1785403880.168707732,200,0.123860
1785403881.310313869,200,0.178669
1785403882.506879439,200,0.173850
1785403883.698156789,200,0.151378
1785403884.868568334,200,0.165222
1785403886.051680306,200,0.120674
1785403887.191225002,200,0.130059
1785403888.339780366,200,0.133202
1785403889.491769078,200,0.122350
1785403890.631852272,200,0.112306
1785403891.762477387,200,0.111438
1785403892.892355201,200,0.153597
1785403894.063054664,200,0.126595
1785403895.205859350,200,0.123479
1785403896.347414053,200,0.587961
1785403897.953966215,200,0.193128
1785403899.163879057,200,0.140211
1785403900.321576471,200,0.189389
1785403901.529272547,200,0.125248
1785403902.673761913,200,0.130367
1785403903.822470609,200,0.118564
1785403904.959727939,200,0.125552
1785403906.104459880,200,0.122323
1785403907.242958518,200,0.121114
1785403908.381755372,200,0.135632
1785403909.534945879,200,0.131085
1785403910.684801328,200,0.173342
1785403911.876495642,200,0.112898
1785403913.005731949,200,0.224265
1785403914.246978949,200,0.131088
1785403915.395700007,200,0.122819
1785403916.536908655,200,0.127676
1785403917.682128892,200,0.117667
1785403918.817670024,200,0.129067
1785403919.965253797,200,0.109666
1785403921.093950253,200,0.112762
1785403922.226431411,200,0.129565
1785403923.373978727,200,0.114084
1785403924.505064557,200,0.354685
1785403925.877293527,200,0.148414
1785403927.042992148,200,0.155726
1785403928.216339057,200,0.137701
1785403929.371531225,200,0.179461
1785403930.569460667,200,0.119662
1785403931.706650173,200,0.114743
1785403932.839372705,200,0.132594
1785403933.989973592,200,0.128742
1785403935.135273474,200,0.112782
1785403936.265278462,200,0.162088
1785403937.444145307,200,0.979982
1785403939.443715773,200,0.134417
1785403940.598546077,200,0.144102
1785403941.759280731,200,0.113998
1785403942.891956879,200,0.108915
1785403944.022213489,200,0.110263
1785403945.152315064,200,0.107729
1785403946.280161922,200,0.108443
1785403947.407068197,200,0.111329
1785403948.536105079,200,0.106159
1785403949.659444239,200,0.109402
1785403950.786340714,200,0.110629
1785403951.917375418,200,0.108387
1785403953.043245680,200,0.111657
1785403954.172338903,200,0.109564
1785403955.301520470,200,0.113110
1785403956.432366209,200,0.110465
1785403957.561641527,200,0.106974
1785403958.688730476,200,0.113408
1785403959.821882697,200,0.109430
1785403960.951571734,200,0.108091
1785403962.077772603,200,0.115508
1785403963.211946927,200,0.109552
1785403964.340563539,200,0.113932
1785403965.474406226,200,0.106839
1785403966.600133719,200,0.112044
1785403967.731456765,200,0.112559
1785403968.863603181,200,0.108815
1785403969.993842556,200,0.109405
1785403971.122129896,200,0.116930
1785403972.258646718,200,0.108757
1785403973.387069223,200,0.111206
1785403974.516771324,200,0.116172
1785403975.654085648,200,0.109050
1785403976.785292841,200,0.110306
1785403977.916073070,200,0.112168
1785403979.047024523,200,0.111100
1785403980.178382471,200,0.106361
1785403981.305250423,200,0.112165
1785403982.434531942,200,0.109807
1785403983.566676845,200,0.110652
1785403984.699419704,200,0.111345
1785403985.831475373,200,0.108145
1785403986.959419861,200,0.108203
1785403988.088601409,200,0.112835
1785403989.222195479,200,0.106746
1785403990.349004262,200,0.109674
1785403991.478978186,200,0.110006
1785403992.608669589,200,0.107671
1785403993.736438674,200,0.106718
1785403994.863603121,200,0.107768
1785403995.989817874,200,0.108282
1785403997.117068688,200,0.116972
1785403998.251976116,200,0.107862
1785403999.381572230,200,0.107896
1785404000.511534258,200,0.112008
1785404001.643670105,200,0.110990
1785404002.773945738,200,0.108278
1785404003.901769986,200,0.112098
1785404005.033075657,200,0.105560
1785404006.156447918,200,0.108192
1785404007.284405310,200,0.111320
1785404008.415026649,200,0.108336
1785404009.542807937,200,0.108172
1785404010.671720193,200,0.114516
