epoch,http_code,time_total_s
1784817682,200,0.224748
1784817683,200,0.096033
1784817685,200,0.128281
1784817686,200,0.473526
1784817687,200,0.094062
1784817688,200,0.099645
1784817689,200,0.095587
1784817690,200,0.491098
1784817692,200,0.101909
1784817693,200,0.166430
1784817694,200,0.133919
1784817695,200,0.092533
1784817697,200,0.191379
1784817698,200,0.092725
1784817699,200,0.093193
1784817700,200,0.164178
1784817701,200,0.160022
1784817702,200,0.188924
1784817704,200,0.162873
1784817705,200,0.201587
1784817706,200,0.093289
1784817707,200,0.091400
1784817708,200,0.090010
1784817709,200,0.214981
1784817710,200,0.099391
1784817712,200,0.100764
1784817713,200,0.091726
1784817714,200,0.101765
1784817715,200,0.105999
1784817716,200,0.102624
1784817717,200,0.684953
1784817719,200,0.091942
1784817720,200,0.093181
1784817721,200,0.127093
1784817722,200,0.090626
1784817723,200,0.092773
1784817724,200,1.211978
1784817727,200,0.667605
1784817728,200,0.913748
1784817730,200,1.083542
1784817732,200,1.807822
1784817735,200,1.876873
1784817738,200,1.569871
1784817741,200,1.872122
1784817744,200,1.623615
1784817746,200,1.009396
1784817748,200,1.522794
1784817751,200,1.130274
1784817753,200,1.210374
1784817755,200,1.755915
1784817758,200,1.322009
1784817760,200,0.956239
1784817762,200,0.156441
1784817763,200,0.157910
1784817765,200,0.141205
1784817766,200,0.134372
1784817767,200,0.223817
1784817768,200,0.121607
1784817769,200,0.103602
1784817770,200,0.232482
1784817772,200,0.278902
1784817773,200,0.102876
1784817774,200,0.235966
1784817775,200,3.085396
1784817779,200,2.168082
1784817783,200,0.527087
1784817784,200,0.120559
1784817785,200,0.311746
1784817787,200,0.119656
1784817788,200,0.094323
1784817789,200,0.094195
1784817790,200,0.102692
1784817791,200,0.092891
1784817792,200,0.158027
1784817793,200,0.284082
1784817795,200,0.409693
1784817796,200,0.539455
1784817798,200,0.348138
1784817799,200,0.112170
1784817800,200,0.098840
1784817801,200,0.175598
1784817802,200,0.096098
1784817804,200,0.890207
1784817805,200,0.110677
1784817807,200,0.116646
1784817808,200,0.124427
1784817809,200,0.097190
1784817810,200,0.099480
1784817811,200,0.112256
1784817812,200,3.190292
1784817816,200,2.669509
1784817820,200,0.557122
1784817822,200,0.598679
1784817823,200,0.120721
1784817824,200,0.124712
1784817826,200,0.106563
1784817827,200,0.094999
1784817828,200,0.092411
1784817829,200,0.101911
1784817830,200,0.475121
1784817832,200,0.433036
1784817833,200,0.128509
1784817834,200,0.165069
1784817835,200,2.683599
1784817839,200,0.128620
1784817840,200,0.147855
1784817841,200,1.218081
1784817844,200,1.169080
1784817846,200,2.626978
1784817849,200,0.199001
1784817851,200,0.167964
1784817852,200,0.228968
1784817853,200,0.198596
1784817854,200,0.167557
1784817855,200,0.142532
1784817857,200,0.223957
1784817858,200,0.125557
1784817859,200,0.137109
1784817860,200,0.143756
1784817861,200,0.124065
1784817862,200,1.129891
1784817865,000,4.002216000,4.0
1784817870,200,1.414886
1784817872,200,0.122127
1784817873,200,0.179850
1784817874,200,0.272173
1784817876,200,0.121855
1784817877,200,0.156944
1784817878,200,0.096457
1784817879,200,0.122896
1784817880,200,2.814275
1784817884,200,0.792564
1784817886,200,1.539472
1784817888,200,1.627279
1784817891,200,1.324902
1784817893,200,0.138220
1784817895,200,0.132255
1784817896,200,0.122856
1784817897,200,0.126492
1784817898,200,0.134353
1784817899,200,0.231314
1784817900,200,0.143231
1784817902,200,0.216070
1784817903,200,0.167932
1784817904,200,0.143154
1784817905,200,0.094130
1784817906,200,0.147313
1784817907,200,0.188577
1784817909,200,0.105377
1784817910,200,0.113262
1784817911,200,0.169774
1784817912,200,0.271818
1784817913,200,0.144808
1784817914,200,0.206754
1784817916,200,0.210934
1784817917,200,0.206771
1784817918,200,0.201911
1784817919,200,0.158043
1784817921,200,0.144761
1784817922,200,0.150027
1784817923,200,0.152569
1784817924,200,0.146551
1784817925,200,0.173299
1784817926,200,0.096109
1784817927,200,0.156009
1784817929,200,0.181907
1784817930,200,0.179714
1784817931,200,0.105731
1784817932,200,0.247717
1784817933,200,0.171906
1784817935,200,0.184533
1784817936,200,0.157315
1784817937,200,0.109771
1784817938,200,0.261299
1784817939,200,0.180651
1784817941,200,0.212599
1784817942,200,0.203938
1784817943,200,0.108595
1784817944,200,0.126768
1784817945,200,0.257981
1784817947,200,0.118426
1784817948,200,0.253422
1784817949,200,0.188150
1784817950,200,0.205528
1784817951,200,0.259231
1784817953,200,0.193024
1784817954,200,0.202394
1784817955,200,0.261972
1784817956,200,0.205651
1784817958,200,0.182534
1784817959,200,0.202749
1784817960,200,0.146225
1784817961,200,0.200305
1784817962,200,0.277548
1784817964,200,0.136117
1784817965,200,0.269916
1784817966,200,0.234780
1784817967,200,0.231735
1784817969,200,0.234887
1784817970,200,0.221855
1784817971,200,1.062756
1784817973,200,0.272286
1784817974,200,0.229075
1784817976,200,0.261881
1784817977,200,0.239250
1784817978,200,0.836025
1784817980,200,0.097293
1784817981,200,0.566963
1784817983,200,0.195246
1784817984,200,0.121432
1784817985,200,0.727662
1784817987,200,0.108533
1784817988,200,0.153411
1784817989,200,0.229096
1784817990,200,0.191062
1784817992,200,0.122770
1784817993,200,0.200837
1784817994,200,0.163411
1784817995,200,0.117103
1784817996,200,0.194520
1784817998,200,0.111227
1784817999,200,0.258158
1784818000,200,0.096638
1784818001,200,0.150859
1784818002,200,0.111287
1784818003,200,0.119659
1784818004,200,0.133171
1784818006,200,0.180091
1784818007,200,0.143750
1784818008,200,0.153819
1784818009,200,0.126901
1784818010,200,0.182155
1784818011,200,0.150097
1784818013,200,0.148200
1784818014,200,0.140729
1784818015,200,0.145575
1784818016,200,0.160470
1784818017,200,0.192678
1784818018,200,0.178430
1784818020,200,0.161453
1784818021,200,0.172480
1784818022,200,0.192726
1784818023,200,0.122716
1784818024,200,0.110413
1784818026,200,0.183102
1784818027,200,0.216473
1784818028,200,1.074169
1784818030,200,0.201530
1784818031,200,0.960163
1784818033,200,0.097703
1784818034,200,0.096818
1784818035,200,0.097835
1784818037,200,0.099640
1784818038,200,3.046386
1784818042,200,0.127541
1784818043,200,3.573470
1784818047,200,0.126081
1784818049,200,0.099180
1784818050,200,0.143416
1784818051,200,0.117733
1784818052,200,0.163209
1784818053,200,0.198931
1784818054,200,0.160108
1784818056,200,0.217013
1784818057,200,0.246703
1784818058,200,0.226953
1784818059,200,0.115502
1784818060,200,0.160713
1784818062,200,0.093494
1784818063,200,0.105212
1784818064,200,0.209387
1784818065,200,0.099868
1784818066,200,0.114740
1784818067,200,0.199528
1784818069,200,0.174241
1784818070,200,0.147776
1784818071,200,0.138353
1784818072,200,0.124528
1784818073,200,0.164237
1784818074,200,0.137052
1784818076,200,0.151616
1784818077,200,0.144282
1784818078,200,0.163968
1784818079,200,0.149026
1784818080,200,0.157139
1784818081,200,0.164245
1784818083,200,0.177907
1784818084,200,0.205685
1784818085,200,0.190982
1784818086,200,0.154755
1784818087,200,0.132375
1784818089,200,0.720291
1784818090,200,0.905454
1784818092,200,0.098690
1784818093,200,0.093962
1784818094,200,0.097160
1784818096,200,0.097501
1784818097,200,2.685157
1784818100,200,0.400528
1784818102,200,2.680232
1784818105,200,0.091909
1784818107,200,0.169371
1784818108,200,0.191584
1784818109,200,0.226707
1784818110,200,0.128342
1784818111,200,0.227198
1784818113,200,0.183419
1784818114,200,0.254097
1784818115,200,0.151884
1784818116,200,0.245926
1784818117,200,0.160615
1784818119,200,0.194260
1784818120,200,0.113272
1784818121,200,0.110909
1784818122,200,0.118638
1784818123,200,0.124995
1784818124,200,0.162831
1784818126,200,0.161429
1784818127,200,0.183886
1784818128,200,0.313929
1784818129,200,0.171509
1784818130,200,0.241246
1784818132,200,0.199028
1784818133,200,0.389259
1784818134,200,0.225372
1784818136,200,0.218775
1784818137,200,0.233137
1784818138,200,0.172122
1784818139,200,0.114189
1784818140,200,0.132346
1784818142,200,0.357770
1784818143,200,0.274499
1784818144,200,0.150218
1784818145,200,0.153953
1784818147,200,0.184415
1784818148,200,0.163285
1784818149,200,0.113359
1784818150,200,0.135434
1784818151,200,0.197655
1784818152,200,0.212801
1784818154,200,0.199347
1784818155,200,0.200393
1784818156,200,0.214701
1784818157,200,0.315785
1784818159,200,0.455431
1784818160,200,0.470934
1784818162,200,0.478548
1784818163,200,0.500557
1784818165,200,0.215746
1784818166,200,0.115281
1784818167,200,0.441093
1784818168,200,0.155063
1784818170,200,0.170568
1784818171,200,0.163519
1784818172,200,0.525206
1784818173,200,0.156553
1784818175,200,0.194838
1784818176,200,0.563485
1784818177,200,0.166170
1784818179,200,0.201842
1784818180,200,0.457399
1784818181,200,0.185586
1784818183,200,0.247059
1784818184,200,0.143481
1784818185,200,0.114731
1784818186,200,0.600717
1784818188,200,0.147191
1784818189,200,0.144113
1784818190,200,0.177385
1784818191,200,0.165882
1784818192,200,0.154423
1784818194,200,0.165680
1784818195,200,0.165661
1784818196,200,0.174307
1784818197,200,0.172361
1784818198,200,0.185767
1784818200,200,0.200595
1784818201,200,0.324708
1784818202,200,0.161602
1784818203,200,0.328899
1784818205,200,0.151357
1784818206,200,0.462365
1784818207,200,0.178863
1784818208,200,0.495379
1784818210,200,0.159507
1784818211,200,0.503699
1784818213,200,0.171826
1784818214,200,0.504372
1784818215,200,0.156474
1784818217,200,0.104506
1784818218,200,0.162871
1784818219,200,0.138253
1784818220,200,0.541296
1784818222,200,0.160585
1784818223,200,0.792177
