epoch,http_code,time_total_s
1784802323,200,0.091395
1784802324,200,0.091205
1784802325,200,0.090319
1784802326,200,0.090925
1784802327,200,0.091378
1784802328,200,0.113138
1784802329,200,0.093571
1784802330,200,0.090741
1784802331,200,0.090600
1784802333,200,0.092654
1784802334,200,0.088077
1784802335,200,0.091427
1784802336,200,0.095659
1784802337,200,0.091386
1784802338,200,0.088868
1784802339,200,0.112063
1784802340,200,0.095051
1784802341,200,0.166150
1784802343,200,0.101822
1784802344,200,0.105848
1784802345,200,0.097410
1784802346,200,0.100962
1784802347,200,0.381900
1784802349,200,0.161646
1784802350,200,0.126445
1784802351,200,0.213038
1784802352,200,0.094756
1784802353,200,0.090448
1784802354,200,0.223223
1784802356,200,0.105157
1784802357,200,0.802155
1784802358,200,0.449268
1784802360,200,0.342494
1784802361,200,0.336852
1784802363,200,0.444748
1784802364,200,0.504356
1784802366,200,0.382594
1784802367,200,0.754120
1784802369,200,1.076839
1784802371,200,1.042401
1784802373,200,0.607721
1784802375,200,0.891418
1784802376,200,0.646662
1784802378,200,0.980295
1784802380,200,0.621098
1784802382,200,0.601829
1784802383,200,0.347247
1784802385,200,0.579320
1784802386,200,0.277778
1784802388,200,0.184696
1784802389,200,0.116828
1784802390,200,0.093392
1784802391,200,0.091961
1784802392,200,0.093777
1784802393,200,0.259536
1784802395,200,0.094466
1784802396,200,0.891549
1784802398,200,0.147362
1784802399,200,0.124875
1784802400,200,0.166666
1784802401,200,0.801506
1784802403,200,0.800228
1784802405,200,0.711472
1784802406,200,0.177680
1784802408,200,0.116467
1784802409,200,0.093945
1784802410,200,0.098325
1784802411,200,1.109456
1784802413,200,1.222094
1784802415,200,1.113060
1784802418,200,0.162211
1784802419,200,0.270806
1784802420,200,0.111973
1784802421,200,0.096360
1784802422,200,1.099370
1784802424,200,0.663622
1784802426,200,1.056326
1784802428,200,0.160669
1784802429,200,0.215743
1784802431,200,0.113474
1784802432,200,0.109651
1784802433,200,0.808236
1784802435,200,1.112486
1784802437,200,0.850876
1784802439,200,0.125410
1784802440,200,0.200299
1784802441,200,0.133560
1784802442,200,0.874965
1784802444,200,0.869295
1784802446,200,0.856005
1784802448,200,0.223651
1784802449,200,0.120745
1784802450,200,0.189902
1784802451,200,0.128793
1784802452,200,0.120163
1784802454,200,0.112621
1784802455,200,0.187779
1784802456,200,0.150302
1784802457,200,0.155528
1784802458,200,0.198195
1784802460,200,0.090876
1784802461,200,0.163722
1784802462,200,0.464271
1784802463,200,0.095544
1784802464,200,0.862147
1784802466,200,0.129626
1784802467,200,0.135569
1784802469,200,0.097000
1784802470,200,0.751303
1784802471,200,0.123404
1784802473,200,0.219314
1784802474,200,0.126376
1784802475,200,0.155386
1784802476,200,0.210888
1784802477,200,0.171178
1784802479,200,0.218448
