timestamp,http_status,elapsed_s,breach_over_2s,load_avg_1m
2026-08-12T07:38:22.522446+00:00,200,0.154,0,1.7294921875
2026-08-12T07:38:23.522570+00:00,200,0.092,0,1.7294921875
2026-08-12T07:38:24.522680+00:00,200,0.111,0,1.7294921875
2026-08-12T07:38:25.522790+00:00,200,0.033,0,1.7294921875
2026-08-12T07:38:26.522900+00:00,200,1.522,0,1.6708984375
2026-08-12T07:38:28.045469+00:00,200,3.009,1,1.6708984375
2026-08-12T07:38:31.054278+00:00,200,2.87,1,1.61669921875
2026-08-12T07:38:33.924141+00:00,200,0.958,0,1.61669921875
2026-08-12T07:38:34.924258+00:00,200,2.184,1,1.56689453125
2026-08-12T07:38:37.108063+00:00,200,0.746,0,1.56689453125
2026-08-12T07:38:38.108193+00:00,200,0.076,0,1.56689453125
2026-08-12T07:38:39.108309+00:00,200,0.083,0,1.56689453125
2026-08-12T07:38:40.108392+00:00,200,4.19,1,1.60205078125
2026-08-12T07:38:44.298354+00:00,200,0.938,0,1.60205078125
2026-08-12T07:38:45.298472+00:00,200,1.286,0,1.5537109375
2026-08-12T07:38:46.584734+00:00,200,0.587,0,1.5537109375
2026-08-12T07:38:47.584852+00:00,200,1.193,0,1.5537109375
2026-08-12T07:38:48.778309+00:00,200,2.432,1,1.5537109375
2026-08-12T07:38:51.210235+00:00,200,0.022,0,1.5537109375
2026-08-12T07:38:52.210373+00:00,200,0.153,0,1.830078125
2026-08-12T07:38:53.210446+00:00,200,0.02,0,1.830078125
2026-08-12T07:38:54.210564+00:00,200,0.049,0,1.830078125
2026-08-12T07:38:55.210682+00:00,200,0.094,0,1.830078125
2026-08-12T07:38:56.210798+00:00,200,0.015,0,1.830078125
2026-08-12T07:38:57.210916+00:00,200,0.018,0,1.76318359375
2026-08-12T07:38:58.211028+00:00,200,0.127,0,1.76318359375
2026-08-12T07:38:59.211144+00:00,200,0.165,0,1.76318359375
2026-08-12T07:39:00.211259+00:00,200,0.065,0,1.76318359375
2026-08-12T07:39:01.211380+00:00,200,0.176,0,1.76318359375
2026-08-12T07:39:02.211490+00:00,200,0.012,0,1.8623046875
2026-08-12T07:39:03.211599+00:00,200,0.009,0,1.8623046875
2026-08-12T07:39:04.211680+00:00,200,0.044,0,1.8623046875
2026-08-12T07:39:05.211795+00:00,200,0.091,0,1.8623046875
2026-08-12T07:39:06.211869+00:00,200,0.241,0,1.8623046875
2026-08-12T07:39:07.211942+00:00,200,0.025,0,1.87353515625
2026-08-12T07:39:08.212054+00:00,200,1.014,0,1.87353515625
2026-08-12T07:39:09.226062+00:00,200,0.041,0,1.87353515625
2026-08-12T07:39:10.226190+00:00,200,0.206,0,1.87353515625
2026-08-12T07:39:11.226314+00:00,200,0.057,0,1.87353515625
2026-08-12T07:39:12.226400+00:00,200,0.062,0,1.80322265625
2026-08-12T07:39:13.226512+00:00,200,0.075,0,1.80322265625
2026-08-12T07:39:14.226620+00:00,200,0.091,0,1.80322265625
2026-08-12T07:39:15.226693+00:00,200,0.014,0,1.80322265625
2026-08-12T07:39:16.226813+00:00,200,0.011,0,1.80322265625
2026-08-12T07:39:17.226923+00:00,200,0.014,0,1.8193359375
2026-08-12T07:39:18.227030+00:00,200,0.069,0,1.8193359375
2026-08-12T07:39:19.227145+00:00,200,0.217,0,1.8193359375
2026-08-12T07:39:20.227258+00:00,200,0.012,0,1.8193359375
