epoch_ms,http_code,total_s,connect_s,ttfb_s
1786436552087,200,0.010,0.001,0.010
1786436553087,200,0.060,0.000,0.060
1786436554087,200,0.301,0.000,0.301
1786436555087,200,0.137,0.000,0.137
1786436556087,200,0.012,0.000,0.012
1786436557087,200,0.390,0.000,0.390
1786436558087,200,0.381,0.000,0.381
1786436559087,200,0.392,0.000,0.392
1786436560088,200,0.008,0.000,0.008
1786436561088,200,0.007,0.000,0.007
1786436562088,200,0.184,0.000,0.184
1786436563088,200,0.460,0.000,0.460
1786436564088,200,0.106,0.000,0.106
1786436565088,200,0.010,0.000,0.010
1786436566088,200,0.320,0.000,0.320
1786436567088,200,0.108,0.000,0.108
1786436568088,200,0.007,0.000,0.007
1786436569088,200,0.008,0.000,0.008
1786436570089,200,0.011,0.000,0.011
1786436571089,200,0.010,0.000,0.009
1786436572089,200,0.009,0.000,0.009
1786436573089,200,0.007,0.000,0.007
1786436574089,200,0.010,0.000,0.010
1786436575089,200,0.010,0.000,0.010
1786436576089,200,0.015,0.000,0.015
1786436577089,200,0.009,0.000,0.009
1786436578089,200,0.012,0.000,0.012
1786436579089,200,0.011,0.000,0.011
1786436580090,200,0.011,0.000,0.011
1786436581090,200,0.013,0.000,0.013
1786436582090,200,0.494,0.000,0.494
1786436583090,200,0.008,0.000,0.007
1786436584090,200,0.013,0.000,0.013
1786436585090,200,0.029,0.000,0.029
1786436586090,200,0.008,0.000,0.008
1786436587090,200,0.010,0.000,0.010
1786436588090,200,0.011,0.000,0.010
1786436589090,200,0.335,0.000,0.335
1786436590091,200,0.008,0.000,0.008
1786436591091,200,0.058,0.000,0.058
1786436592091,200,0.027,0.000,0.027
1786436593091,200,2.849,0.000,2.849
1786436595940,200,0.158,0.000,0.158
1786436596940,200,0.026,0.000,0.026
1786436597940,200,0.009,0.000,0.009
1786436598940,200,0.051,0.000,0.051
1786436599940,200,0.033,0.000,0.033
1786436600941,200,0.017,0.000,0.017
1786436601941,200,0.012,0.000,0.012
1786436602941,200,0.007,0.000,0.007
1786436603941,200,0.013,0.000,0.013
1786436604941,200,0.006,0.000,0.006
1786436605941,200,0.017,0.000,0.017
1786436606941,200,0.020,0.000,0.020
