timestamp,http_status,elapsed_s,breach_over_2s,load_avg_1m
2026-08-12T03:13:37.073704+00:00,200,0.201,0,1.29443359375
2026-08-12T03:13:38.073859+00:00,200,0.009,0,1.29443359375
2026-08-12T03:13:39.073997+00:00,200,0.015,0,1.2705078125
2026-08-12T03:13:40.074095+00:00,200,0.009,0,1.2705078125
2026-08-12T03:13:41.074237+00:00,200,0.01,0,1.2705078125
2026-08-12T03:13:42.074377+00:00,200,0.012,0,1.2705078125
2026-08-12T03:13:43.074512+00:00,200,0.01,0,1.2705078125
2026-08-12T03:13:44.074605+00:00,200,0.011,0,1.3291015625
2026-08-12T03:13:45.074749+00:00,200,0.013,0,1.3291015625
2026-08-12T03:13:46.074891+00:00,200,0.011,0,1.3291015625
2026-08-12T03:13:47.074985+00:00,200,0.011,0,1.3291015625
2026-08-12T03:13:48.075125+00:00,200,0.01,0,1.3291015625
2026-08-12T03:13:49.075266+00:00,200,0.009,0,1.38330078125
2026-08-12T03:13:50.075410+00:00,200,0.01,0,1.38330078125
2026-08-12T03:13:51.075550+00:00,200,0.012,0,1.38330078125
2026-08-12T03:13:52.075688+00:00,200,0.012,0,1.38330078125
2026-08-12T03:13:53.075829+00:00,200,0.012,0,1.38330078125
2026-08-12T03:13:54.075975+00:00,200,0.467,0,1.3525390625
2026-08-12T03:13:55.076119+00:00,200,0.008,0,1.3525390625
2026-08-12T03:13:56.076266+00:00,200,0.024,0,1.3525390625
2026-08-12T03:13:57.076416+00:00,200,0.021,0,1.3525390625
2026-08-12T03:13:58.076558+00:00,200,0.808,0,1.40478515625
2026-08-12T03:13:59.076697+00:00,200,1.697,0,1.40478515625
2026-08-12T03:14:00.773436+00:00,200,0.334,0,1.40478515625
2026-08-12T03:14:01.773529+00:00,200,0.01,0,1.40478515625
2026-08-12T03:14:02.773626+00:00,200,0.042,0,1.40478515625
2026-08-12T03:14:03.773779+00:00,200,0.009,0,1.3720703125
2026-08-12T03:14:04.773929+00:00,200,2.875,1,1.3720703125
2026-08-12T03:14:07.648864+00:00,200,0.441,0,1.3720703125
