timestamp,http_status,elapsed_s,breach_over_2s,load_avg_1m
2026-08-12T03:33:03.615508+00:00,200,0.026,0,1.10595703125
2026-08-12T03:33:04.615691+00:00,200,0.015,0,1.10595703125
2026-08-12T03:33:05.615822+00:00,200,0.019,0,1.10595703125
2026-08-12T03:33:06.615959+00:00,200,0.013,0,1.10595703125
2026-08-12T03:33:07.616091+00:00,200,0.015,0,1.10595703125
2026-08-12T03:33:08.616203+00:00,200,0.014,0,1.337890625
2026-08-12T03:33:09.616335+00:00,200,0.015,0,1.337890625
2026-08-12T03:33:10.616447+00:00,200,0.012,0,1.337890625
2026-08-12T03:33:11.616571+00:00,200,0.015,0,1.337890625
2026-08-12T03:33:12.616695+00:00,200,0.013,0,1.337890625
2026-08-12T03:33:13.616815+00:00,200,0.014,0,1.310546875
2026-08-12T03:33:14.616934+00:00,200,0.014,0,1.310546875
2026-08-12T03:33:15.617056+00:00,200,0.014,0,1.310546875
2026-08-12T03:33:16.617172+00:00,200,0.014,0,1.310546875
2026-08-12T03:33:17.617291+00:00,200,0.015,0,1.310546875
2026-08-12T03:33:18.617418+00:00,200,0.014,0,1.28564453125
2026-08-12T03:33:19.617537+00:00,200,0.018,0,1.28564453125
2026-08-12T03:33:20.617610+00:00,200,0.013,0,1.28564453125
2026-08-12T03:33:21.617709+00:00,200,0.017,0,1.28564453125
2026-08-12T03:33:22.617826+00:00,200,0.012,0,1.28564453125
2026-08-12T03:33:23.617950+00:00,200,0.014,0,1.2626953125
2026-08-12T03:33:24.618075+00:00,200,0.014,0,1.2626953125
2026-08-12T03:33:25.618190+00:00,200,0.014,0,1.2626953125
2026-08-12T03:33:26.618311+00:00,200,0.02,0,1.2626953125
2026-08-12T03:33:27.618434+00:00,200,0.015,0,1.2626953125
2026-08-12T03:33:28.618553+00:00,200,0.015,0,1.1611328125
2026-08-12T03:33:29.618676+00:00,200,0.015,0,1.1611328125
2026-08-12T03:33:30.618774+00:00,200,0.016,0,1.1611328125
2026-08-12T03:33:31.618890+00:00,200,0.015,0,1.1611328125
2026-08-12T03:33:32.619022+00:00,200,0.01,0,1.1611328125
2026-08-12T03:33:33.619095+00:00,200,0.011,0,1.14794921875
2026-08-12T03:33:34.619223+00:00,200,0.016,0,1.14794921875
2026-08-12T03:33:35.619344+00:00,200,0.017,0,1.14794921875
2026-08-12T03:33:36.619442+00:00,200,0.016,0,1.14794921875
2026-08-12T03:33:37.619525+00:00,200,0.013,0,1.14794921875
2026-08-12T03:33:38.619621+00:00,200,0.015,0,1.0556640625
2026-08-12T03:33:39.619737+00:00,200,0.023,0,1.0556640625
2026-08-12T03:33:40.619869+00:00,200,0.015,0,1.0556640625
2026-08-12T03:33:41.620005+00:00,200,0.016,0,1.0556640625
2026-08-12T03:33:42.620125+00:00,200,0.015,0,1.0556640625
2026-08-12T03:33:43.620269+00:00,200,0.014,0,0.970703125
2026-08-12T03:33:44.620394+00:00,200,0.013,0,0.970703125
2026-08-12T03:33:45.620465+00:00,200,0.01,0,0.970703125
