poll_index,http_status,elapsed_s,error
353,200,0.207,
354,200,0.342,
355,200,0.236,
356,200,0.283,
357,200,0.227,
358,200,0.222,
359,200,0.306,
360,200,0.295,
361,200,0.299,
362,200,0.160,
363,200,0.580,
364,200,0.288,
365,200,0.687,
366,200,0.292,
367,200,1.368,
368,200,7.931,
369,200,1.746,
370,200,0.130,
371,200,0.099,
372,200,0.621,
373,200,0.149,
374,200,0.192,
375,200,0.180,
376,200,0.100,
377,200,0.133,
378,200,0.110,
379,200,0.171,
380,200,0.102,
381,200,0.148,
382,200,0.148,
383,200,0.157,
384,200,0.173,
385,200,0.228,
386,200,0.096,
387,200,0.196,
388,200,0.141,
389,200,0.136,
390,200,0.114,
391,200,0.165,
392,200,0.246,
393,200,0.131,
394,200,0.213,
395,200,0.216,
396,200,0.256,
397,200,0.117,
398,200,0.108,
399,200,0.191,
400,200,0.111,
401,200,0.172,
402,200,0.158,
403,200,0.124,
404,200,0.198,
405,200,0.105,
406,200,0.162,
407,200,0.121,
408,200,0.193,
409,200,0.179,
410,200,0.110,
411,200,0.276,
412,200,0.178,
413,200,0.199,
414,200,0.213,
415,200,0.146,
416,200,0.222,
417,200,0.171,
418,200,0.205,
419,200,0.195,
420,200,0.172,
421,200,0.199,
422,200,0.100,
423,200,0.202,
424,200,0.098,
425,200,0.098,
426,200,0.096,
427,200,0.114,
428,200,0.097,
429,200,0.096,
430,200,0.103,
431,200,0.164,
432,200,0.099,
433,200,0.103,
434,200,0.111,
435,200,0.175,
436,200,0.167,
437,200,0.100,
438,200,0.098,
439,200,0.099,
440,200,0.203,
441,200,0.110,
442,200,0.156,
443,200,0.108,
444,200,0.100,
445,200,0.095,
446,200,0.784,
447,200,0.100,
448,200,0.102,
