poll_index,http_status,elapsed_s,error
0,200,0.155,
1,200,0.203,
2,200,0.229,
3,200,0.195,
4,200,0.268,
5,200,0.279,
6,200,0.194,
7,200,0.112,
8,200,0.185,
9,200,0.242,
10,200,0.233,
11,200,0.244,
12,200,0.193,
13,200,0.230,
14,200,0.140,
15,200,0.153,
16,200,0.192,
17,200,0.363,
18,200,0.316,
19,200,0.333,
20,200,0.390,
21,200,1.465,
22,,10.014,timed out
23,200,0.715,
24,200,0.311,
25,200,0.379,
26,200,0.478,
27,200,0.509,
28,200,0.341,
29,200,0.494,
30,200,0.343,
31,200,0.576,
32,200,0.103,
33,200,0.098,
34,200,0.099,
35,200,0.101,
36,200,0.097,
37,200,0.095,
38,200,0.099,
39,200,4.197,
40,200,0.174,
41,200,1.408,
42,200,0.132,
43,200,0.140,
44,200,0.116,
45,200,0.161,
46,200,0.113,
47,200,0.109,
48,200,0.202,
49,200,0.104,
50,200,0.127,
51,200,0.193,
52,200,0.183,
53,200,0.112,
54,200,0.116,
55,200,0.103,
56,200,0.184,
57,200,0.151,
58,200,0.472,
59,200,0.211,
60,200,0.179,
61,200,0.098,
62,200,0.110,
63,200,0.161,
64,200,0.116,
65,200,0.119,
66,200,0.160,
67,200,0.186,
68,200,0.120,
69,200,0.117,
70,200,0.510,
71,200,0.122,
72,200,0.116,
73,200,0.102,
74,200,0.137,
75,200,0.127,
76,200,0.289,
77,200,0.100,
78,200,0.108,
79,200,0.146,
80,200,0.124,
81,200,0.149,
82,200,0.144,
83,200,0.233,
84,200,0.135,
85,200,0.219,
86,200,0.118,
87,200,0.205,
88,200,0.142,
89,200,0.188,
90,200,0.222,
91,200,0.101,
92,200,0.108,
93,200,0.107,
94,200,0.160,
95,200,0.120,
96,200,0.229,
97,200,0.166,
98,200,0.152,
99,200,0.112,
100,200,0.112,
101,200,0.111,
102,200,0.106,
103,200,0.110,
104,200,0.108,
105,200,0.910,
106,200,0.141,
107,200,2.475,
108,200,2.886,
109,200,2.742,
110,200,2.384,
111,200,2.642,
112,200,0.139,
113,200,0.112,
114,200,0.143,
115,200,0.107,
116,200,0.096,
117,200,0.111,
118,200,0.159,
119,200,0.145,
120,200,0.126,
121,200,0.098,
122,200,0.163,
123,200,0.182,
124,200,0.173,
125,200,0.138,
126,200,0.176,
127,200,0.118,
128,200,0.268,
129,200,0.194,
130,200,0.208,
131,200,0.121,
132,200,0.150,
133,200,0.170,
134,200,0.524,
135,200,0.169,
136,200,0.118,
137,200,0.166,
138,200,0.125,
139,200,0.107,
140,200,0.207,
141,200,0.200,
142,200,0.156,
143,200,0.143,
144,200,0.197,
145,200,0.148,
146,200,0.203,
147,200,0.167,
148,200,0.143,
149,200,0.173,
150,200,0.182,
151,200,0.327,
152,200,0.173,
153,200,0.171,
154,200,0.182,
155,200,0.140,
156,200,0.213,
157,200,0.184,
158,200,0.130,
159,200,0.134,
160,200,0.101,
161,200,0.102,
162,200,0.138,
163,200,0.100,
164,200,0.161,
165,200,0.104,
166,200,0.099,
167,200,0.105,
168,200,0.174,
169,200,0.101,
170,200,0.105,
171,200,0.098,
172,200,0.104,
173,200,0.148,
174,200,0.103,
175,200,0.216,
176,200,0.107,
177,200,0.104,
178,200,0.186,
179,200,0.152,
180,200,0.215,
181,200,0.109,
182,200,0.102,
183,200,0.100,
184,200,0.109,
185,200,1.496,
186,200,0.103,
187,200,0.137,
188,200,0.124,
189,200,0.154,
190,200,0.113,
191,200,0.100,
192,200,0.103,
193,200,0.178,
194,200,0.099,
195,200,0.098,
196,200,0.094,
197,200,0.102,
198,200,0.147,
199,200,0.103,
200,200,0.182,
201,200,0.180,
202,200,0.138,
203,200,0.135,
204,200,0.145,
205,200,0.168,
206,200,0.151,
207,200,0.171,
208,200,0.155,
209,200,0.099,
210,200,0.100,
211,200,0.098,
212,200,0.141,
213,200,0.100,
214,200,0.097,
215,200,0.203,
216,200,0.099,
217,200,0.107,
218,200,0.103,
219,200,0.108,
220,200,0.107,
221,200,0.104,
222,200,0.166,
223,200,0.125,
224,200,0.127,
225,200,0.109,
226,200,0.105,
227,200,0.102,
228,200,0.099,
229,200,0.102,
230,200,1.302,
231,200,0.101,
232,200,0.099,
233,200,0.125,
234,200,0.120,
235,200,0.167,
236,200,0.099,
237,200,0.103,
238,200,0.097,
239,200,0.102,
240,200,0.101,
241,200,0.321,
242,200,0.102,
243,200,0.099,
244,200,0.097,
245,200,0.102,
246,200,0.136,
247,200,0.241,
248,200,0.165,
249,200,0.112,
