epoch,vmpeak_kb,vmsize_kb,vmrss_kb,vmhwm_kb
1785900929.594,2630660,2616324,2036976,2071152
1785900929.844,2630660,2616324,2036976,2071152
1785900930.095,2630660,2624516,2049020,2071152
1785900930.345,2630660,2625540,2051368,2071152
1785900930.595,2635780,2635780,2063624,2071152
1785900930.846,2641924,2641924,2073924,2073924
1785900931.096,2642948,2642948,2075204,2075204
1785900931.346,2651140,2651140,2087528,2087528
1785900931.596,2651140,2651140,2087528,2087528
1785900931.847,2659332,2659332,2099200,2099200
1785900932.097,2662404,2662404,2104972,2104972
1785900932.347,2666500,2666500,2110752,2110752
1785900932.598,2679812,2679812,2126028,2126028
1785900932.848,2679812,2679812,2126028,2126028
1785900933.098,2686980,2686980,2137984,2137984
1785900933.348,2689028,2689028,2141028,2141028
1785900933.599,2694148,2694148,2149532,2149532
1785900933.849,2829316,2764804,2157564,2157564
1785900934.099,2829316,2767876,2161228,2161228
1785900934.350,2829316,2776068,2173328,2173328
1785900934.600,2829316,2776068,2173328,2173328
1785900934.850,2829316,2783236,2184856,2184856
1785900935.100,2829316,2783236,2184856,2184856
1785900935.351,2829316,2790404,2196244,2196244
1785900935.601,2829316,2790404,2196644,2196644
1785900935.851,2829316,2797572,2208100,2208100
1785900936.101,2829316,2798596,2210272,2210272
1785900936.352,2829316,2804740,2219524,2219524
1785900936.602,2829316,2806788,2223612,2223612
1785900936.852,2829316,2811908,2231100,2231100
1785900937.103,2829316,2816004,2237848,2237848
1785900937.353,2829316,2819076,2242808,2242808
1785900937.603,2829316,2825220,2252468,2252468
1785900937.853,2829316,2827268,2254364,2254364
1785900938.104,2834436,2834436,2266264,2266264
1785900938.354,2834436,2834436,2266264,2266264
1785900938.604,2841604,2841604,2277556,2277556
1785900938.855,2841604,2841604,2277556,2277556
1785900939.105,2844660,2844660,2281056,2281056
1785900939.355,2844660,2844660,2281144,2281144
1785900939.605,2846708,2846708,2283820,2283820
1785900939.856,2851828,2851828,2288952,2288952
1785900940.106,2852852,2852852,2289728,2289728
1785900940.356,2854900,2854900,2291604,2291604
1785900940.606,2854900,2854900,2291604,2291604
1785900940.857,2856948,2856948,2293716,2293716
1785900941.107,2856948,2856948,2293716,2293716
1785900941.357,2858996,2858996,2295852,2295852
1785900941.608,2858996,2858996,2295852,2295852
1785900941.858,2861044,2861044,2297884,2297884
1785900942.108,2861044,2861044,2297884,2297884
1785900942.358,2863092,2863092,2299904,2299904
1785900942.609,2863092,2863092,2299904,2299904
1785900942.859,2865140,2865140,2301868,2301868
1785900943.109,2865140,2865140,2301868,2301868
1785900943.359,2867188,2867188,2305408,2305408
1785900943.610,2867188,2867188,2305408,2305408
1785900943.860,2869236,2869236,2310228,2310228
1785900944.110,2869236,2869236,2310228,2310228
1785900944.360,2870260,2870260,2312436,2312436
1785900944.610,2870260,2870260,2312436,2312436
1785900944.861,2870260,2870260,2312448,2312448
1785900945.111,2870260,2870260,2312448,2312448
1785900945.361,2870260,2870260,2312448,2312448
1785900945.611,2870260,2870260,2312448,2312448
1785900945.861,2870260,2870260,2312448,2312448
1785900946.112,2870260,2870260,2312448,2312448
1785900946.362,2870276,2870276,2312452,2312452
1785900946.612,2870276,2870276,2312452,2312452
1785900946.862,3001348,2935812,2378812,2378812
1785900947.112,3001348,2935812,2378896,2378896
1785900947.363,3001348,2936836,2379804,2379804
1785900947.613,3001348,2937860,2381224,2381224
1785900947.863,3001348,2940932,2385904,2385904
1785900948.113,3001348,2940932,2385904,2385904
1785900948.364,3001348,2940932,2385904,2385904
1785900948.614,3001348,2940932,2385904,2385904
1785900948.864,3001348,2940932,2385904,2385904
1785900949.115,3001348,2940932,2385904,2385904
1785900949.365,3001348,2940932,2385904,2385904
1785900949.615,3001348,2940932,2385904,2385904
1785900949.866,3001348,2940932,2385904,2385904
1785900950.116,3001348,2940932,2385904,2385904
1785900950.366,3001348,2940932,2385904,2385904
1785900950.616,3001348,2940932,2385908,2385908
1785900950.867,3001348,2940932,2385908,2385908
1785900951.117,3001348,2940932,2385908,2385908
1785900951.367,3001348,2940932,2385908,2385908
1785900951.618,3001348,2940932,2385908,2385908
1785900951.868,3001348,2940932,2385908,2385908
1785900952.118,3001348,2940932,2385908,2385908
1785900952.369,3001348,2940932,2385908,2385908
1785900952.619,3001348,2940932,2385908,2385908
1785900952.869,3001348,2940932,2385908,2385908
1785900953.119,3001348,2940932,2385908,2385908
1785900953.370,3001348,2940932,2385908,2385908
1785900953.620,3001348,2940932,2385908,2385908
1785900953.870,3001348,2940932,2385908,2385908
1785900954.121,3001348,2940932,2385908,2385908
1785900954.371,3001348,2940932,2385908,2385908
1785900954.621,3001348,2940932,2385908,2385908
1785900954.871,3001348,2940932,2385908,2385908
1785900955.122,3001348,2940932,2385908,2385908
1785900955.372,3001348,2940932,2385908,2385908
1785900955.622,3001348,2940932,2385908,2385908
1785900955.873,3001348,2940932,2385908,2385908
1785900956.123,3001348,2940932,2385908,2385908
1785900956.373,3001348,2940932,2385908,2385908
1785900956.623,3001348,2940932,2385908,2385908
1785900956.874,3001348,2940932,2385908,2385908
1785900957.124,3001348,2940932,2385908,2385908
1785900957.374,3001348,2940932,2385908,2385908
1785900957.624,3001348,2940932,2385908,2385908
1785900957.875,3001348,2940932,2385908,2385908
1785900958.125,3001348,2940932,2385908,2385908
1785900958.375,3001348,2940932,2385908,2385908
1785900958.626,3001348,2940932,2385908,2385908
1785900958.876,3001348,2940932,2385908,2385908
1785900959.126,3001348,2940932,2385908,2385908
1785900959.377,3001348,2940932,2385908,2385908
1785900959.627,3001348,2940932,2385908,2385908
1785900959.877,3001348,2940932,2385912,2385912
1785900960.127,3001348,2940932,2385912,2385912
1785900960.377,3001348,2940932,2385924,2385924
1785900960.628,3001348,2940932,2385924,2385924
1785900960.878,3001348,2940932,2385924,2385924
1785900961.128,3001348,2941956,2387480,2387480
1785900961.379,3001348,2941956,2387480,2387480
1785900961.629,3001348,2947076,2392016,2392016
1785900961.879,3001348,2947076,2392016,2392016
1785900962.129,3001348,2949124,2394476,2394476
1785900962.380,3001348,2951172,2396244,2396244
1785900962.630,3001348,2955268,2400544,2400544
1785900962.880,3001348,2959364,2404256,2404256
1785900963.131,3001348,2959364,2404256,2404256
1785900963.381,3001348,2962436,2407832,2407832
1785900963.631,3001348,2962436,2407832,2407832
1785900963.881,3001348,2967556,2412748,2412748
1785900964.132,3001348,2968580,2414168,2414168
1785900964.382,3001348,2972676,2417864,2417864
1785900964.632,3001348,2976772,2421856,2421856
1785900964.883,3001348,2978820,2424212,2424212
