elapsed_s,health_http_status,health_latency_s,vmpeak_kb,vmhwm_kb,job_status
0.0,200,0.2691,2764800,2402932,running
1.273,200,0.4528,2764800,2402932,running
2.726,200,0.1414,2764800,2402932,running
3.869,200,0.3622,2764800,2402932,running
5.236,200,0.553,2764800,2402932,running
6.794,200,2.2121,2764800,2402932,running
10.023,200,0.2493,2764800,2402932,running
11.273,200,0.2165,2764800,2402932,running
12.491,200,0.547,2764800,2402932,running
14.145,200,0.8472,2764800,2402932,running
16.026,200,0.1556,2764800,2402932,running
17.183,200,0.5837,2764800,2402932,running
18.792,200,0.2181,2764800,2402932,running
20.011,200,0.6183,2764800,2402932,running
21.631,200,1.1679,2764800,2402932,running
23.847,200,0.2516,2764800,2402932,running
25.101,200,0.2411,2764800,2402932,running
26.344,200,0.2584,2764800,2402932,running
27.604,200,0.6388,2764800,2402932,running
29.244,200,0.2706,2764800,2402932,running
30.516,200,0.2853,2764800,2402932,running
31.802,200,0.5495,2764800,2402932,running
33.353,200,0.2994,2764800,2402932,running
34.653,200,0.2662,2764800,2402932,running
35.921,200,0.2494,2764800,2402932,running
37.171,200,0.269,2764800,2402932,running
38.441,200,0.2105,2764800,2402932,ok
