elapsed_s,health_http_status,health_latency_s,vmpeak_kb,vmhwm_kb,job_status
0.0,200,0.7994,1924760,1554532,running
1.8,200,0.2331,1927832,1557608,running
3.035,200,0.309,1933976,1565832,running
4.388,200,0.3114,1937080,1569688,running
5.752,200,0.3004,1942200,1578028,running
7.11,200,0.5998,1947320,1583024,running
8.711,200,0.2976,1950392,1583024,running
10.009,200,0.5264,1957592,1590968,running
11.537,200,0.6394,1961688,1594800,running
13.178,200,0.5421,1968856,1602748,running
14.721,200,0.3768,1974008,1608796,running
16.135,200,0.6426,1976056,1611988,running
17.779,200,0.682,1982200,1620716,running
19.462,200,0.3738,1986328,1624280,running
20.893,200,0.3088,1993496,1628652,running
22.239,200,0.6422,2150188,1691748,running
23.918,200,0.4651,2150188,1691748,running
25.384,200,0.5931,2150188,1691748,running
26.989,200,0.7525,2150188,1696364,running
28.773,200,0.3646,2150188,1701904,running
30.175,200,0.3409,2150188,1705136,running
31.517,200,0.6352,2150188,1709820,running
33.153,200,0.5706,2150188,1714332,running
34.725,200,0.6347,2150188,1718416,running
36.485,200,0.8023,2150188,1723860,running
38.319,200,0.2961,2150188,1730468,running
39.616,200,0.2898,2152348,1795752,running
40.907,200,0.1947,2173856,1819280,running
42.103,200,0.2309,2191264,1840544,running
43.335,200,0.5677,2208672,1860044,running
44.904,200,0.1744,2227104,1881064,running
46.08,200,0.1787,2367392,1901712,running
47.259,200,0.3598,2367392,1924204,running
48.62,200,0.2082,2367392,1947760,running
49.833,200,0.3215,2367392,1966108,running
51.155,200,0.2631,2386848,1989008,running
52.42,200,0.2173,2406304,2011516,running
53.638,200,0.1962,2423712,2031756,running
54.836,200,0.2753,2440096,2050680,running
56.113,200,0.2822,2449312,2061872,running
57.396,200,0.3164,2469792,2085712,running
58.714,200,0.221,2484128,2103548,running
59.936,200,0.4443,2512804,2134972,running
61.381,200,0.2741,2527136,2152468,running
62.657,200,0.2698,2537408,2163720,running
63.928,200,0.4236,2537408,2163720,running
65.353,200,0.2668,2537408,2163720,running
66.621,200,0.1366,2537408,2163720,running
67.759,200,0.1122,2537408,2163720,running
68.872,200,0.11,2537408,2163720,running
69.983,200,0.1261,2537408,2163720,running
71.11,200,0.1894,2537408,2163720,running
72.301,200,0.1872,2537408,2163720,running
73.489,200,0.691,2537408,2163720,running
75.181,200,0.3752,2537408,2163720,running
76.558,200,0.3331,2537408,2163720,running
77.892,200,0.1747,2537408,2163720,running
79.068,200,0.3497,2537408,2163720,running
80.418,200,0.1542,2537408,2163720,running
81.574,200,0.641,2537408,2163720,running
83.216,200,0.1747,2537408,2163720,running
84.392,200,0.1493,2537408,2163720,running
85.542,200,2.687,2561600,2163720,running
89.23,200,0.2354,2561600,2163720,running
90.467,200,0.2378,2687780,2251264,running
91.706,200,0.9642,2692900,2256564,running
93.671,200,0.4036,2727400,2290844,running
95.128,200,0.2318,2764024,2325192,running
96.362,200,0.8992,2764024,2325604,running
98.334,200,0.37,2764024,2327636,running
99.705,200,0.3824,2764024,2327636,running
101.088,200,0.2122,2764024,2327636,running
102.302,200,1.4653,2764024,2344612,running
104.798,200,0.4469,2764024,2344240,running
106.276,200,0.5187,2764024,2376292,running
107.796,200,0.2101,2764024,2376292,running
109.007,200,0.8472,2764024,2376292,running
110.858,200,0.6729,2764024,2376292,running
112.532,200,0.7708,2764024,2376292,running
114.304,200,0.1796,2764024,2376292,running
115.485,200,0.2394,2764024,2376292,running
116.741,200,1.876,2764024,2402696,running
119.634,200,0.575,2764024,2402144,running
121.21,200,0.6876,2764024,2402144,running
122.899,200,0.6643,2764024,2402144,running
124.566,200,0.7942,2764024,2402144,running
126.361,200,0.7965,2764024,2402144,running
128.162,200,0.1268,2764024,2402144,running
129.29,200,0.9642,2764800,2403040,running
131.296,200,1.1646,2764800,2403056,running
133.518,200,0.6326,2764800,2403440,running
135.187,200,0.725,2764800,2402932,running
136.913,200,0.2309,2764800,2402932,running
138.145,200,0.2701,2764800,2402932,running
139.417,200,0.1791,2764800,2402932,running
140.597,200,0.44,2764800,2402932,running
142.038,200,0.2275,2764800,2402932,running
143.266,200,0.4433,2764800,2402932,running
144.712,200,0.2313,2764800,2402932,running
145.944,200,0.3149,2764800,2402932,running
147.262,200,0.3479,2764800,2402932,running
148.612,200,0.2679,2764800,2402932,running
149.88,200,0.7189,2764800,2402932,running
151.601,200,0.2235,2764800,2402932,running
152.825,200,0.2399,2764800,2402932,running
154.066,200,1.0147,2764800,2402932,running
156.082,200,0.1527,2764800,2402932,running
157.236,200,0.1988,2764800,2402932,running
158.437,200,0.832,2764800,2402932,running
160.27,200,0.2392,2764800,2402932,running
161.51,200,0.4835,2764800,2402932,running
162.995,200,0.3125,2764800,2402932,running
164.308,200,0.311,2764800,2402932,running
165.621,200,0.2065,2764800,2402932,running
166.829,200,0.261,2764800,2402932,running
168.092,200,0.8508,2764800,2402932,running
169.944,200,0.8815,2764800,2402932,running
171.826,200,0.2032,2764800,2402932,running
173.03,200,0.2618,2764800,2402932,running
174.293,200,0.8707,2764800,2402932,running
176.165,200,0.7253,2764800,2402932,running
177.891,200,1.0584,2764800,2402932,running
179.951,200,0.2499,2764800,2402932,running
181.202,200,1.0371,2764800,2402932,running
183.24,200,0.2804,2764800,2402932,running
184.522,200,0.2455,2764800,2402932,running
185.769,200,0.3416,2764800,2402932,running
187.113,200,0.1995,2764800,2402932,running
188.313,200,0.3201,2764800,2402932,running
189.634,200,0.2648,2764800,2402932,running
190.9,200,0.2921,2764800,2402932,running
192.194,200,0.2783,2764800,2402932,running
193.473,200,0.9342,2764800,2402932,ok
