poll_index,http_status,elapsed_s,error
0,200,0.015,
1,200,0.021,
2,200,0.127,
3,200,0.051,
4,200,0.010,
5,200,0.011,
6,200,0.075,
7,200,0.099,
8,200,0.013,
9,200,0.007,
10,200,0.077,
11,200,0.009,
12,200,0.038,
13,200,0.011,
14,200,0.007,
15,200,0.127,
16,200,0.009,
17,200,0.010,
18,200,0.008,
19,200,0.054,
20,200,0.133,
21,200,0.163,
22,200,0.024,
23,200,0.155,
24,200,0.104,
25,200,0.174,
26,200,0.196,
27,200,0.209,
28,200,0.217,
29,200,0.191,
30,200,0.189,
31,200,0.240,
32,200,0.012,
33,200,0.071,
34,200,0.008,
35,200,0.050,
36,200,0.012,
37,200,0.164,
38,200,0.012,
39,200,0.024,
40,200,0.008,
41,200,0.025,
42,200,0.010,
43,200,0.010,
44,200,0.008,
45,200,0.026,
46,200,0.082,
47,200,0.154,
48,200,0.008,
49,200,0.076,
50,200,0.121,
51,200,0.123,
52,200,0.088,
53,200,0.148,
54,200,0.128,
55,200,0.163,
56,200,0.037,
57,200,0.102,
58,200,0.233,
59,200,0.211,
60,200,0.305,
61,200,1.509,
62,200,1.806,
63,200,0.884,
64,200,0.519,
65,200,1.834,
66,200,1.987,
67,200,0.375,
68,200,0.009,
69,200,0.135,
70,200,0.013,
71,200,0.081,
72,200,0.044,
73,200,0.247,
74,200,0.215,
75,200,0.170,
76,200,0.228,
77,200,0.323,
78,200,0.010,
79,200,0.110,
80,200,0.310,
81,200,0.315,
82,200,0.372,
83,200,0.497,
84,200,0.038,
85,200,0.341,
86,200,0.013,
87,200,0.020,
88,200,0.541,
89,200,0.036,
90,200,0.019,
91,200,0.155,
92,200,0.137,
93,200,0.227,
94,200,0.365,
95,200,0.410,
96,200,0.011,
97,200,0.070,
98,200,0.017,
99,200,0.012,
100,200,0.012,
101,200,0.013,
102,200,0.012,
103,200,0.013,
104,200,0.014,
105,200,0.126,
106,200,0.019,
107,200,0.103,
108,200,0.022,
109,200,0.015,
110,200,0.013,
111,200,0.013,
112,200,0.017,
113,200,0.018,
114,200,0.017,
115,200,1.430,
116,200,1.375,
117,200,0.254,
118,200,0.033,
119,200,0.045,
120,200,0.019,
121,200,0.012,
122,200,0.025,
123,200,0.363,
124,200,0.017,
125,200,0.100,
126,200,0.031,
127,200,0.014,
128,200,0.015,
129,200,0.086,
130,200,0.011,
131,200,0.019,
132,200,0.097,
133,200,0.092,
134,200,0.020,
135,200,0.032,
136,200,0.016,
137,200,0.040,
138,200,0.012,
139,200,0.042,
140,200,0.010,
141,200,0.014,
142,200,0.080,
143,200,0.023,
144,200,0.023,
145,200,0.022,
146,200,0.020,
147,200,0.008,
148,200,0.111,
149,200,0.008,
150,200,0.022,
151,200,0.132,
152,200,0.097,
153,200,0.020,
154,200,0.023,
155,200,0.055,
156,200,0.189,
157,200,0.150,
158,200,0.020,
159,200,0.029,
160,200,0.083,
161,200,0.103,
162,200,0.020,
163,200,0.096,
164,200,0.073,
165,200,0.009,
166,200,0.016,
167,200,0.018,
168,200,0.073,
169,200,0.022,
170,200,0.010,
171,200,0.011,
172,200,0.021,
173,200,0.010,
174,200,0.028,
175,200,0.037,
176,200,0.028,
177,200,0.020,
178,200,0.025,
179,200,0.015,
180,200,0.025,
181,200,0.014,
182,200,0.110,
183,200,0.144,
184,200,0.097,
185,200,0.016,
186,200,0.014,
187,200,0.066,
188,200,0.031,
189,200,0.018,
190,200,0.081,
191,200,0.009,
192,200,0.016,
193,200,0.009,
194,200,0.010,
195,200,0.017,
196,200,0.012,
197,200,0.168,
198,200,0.018,
199,200,0.018,
200,200,0.009,
201,200,0.008,
202,200,0.014,
203,200,0.027,
204,200,0.019,
205,200,0.023,
206,200,0.020,
207,200,0.012,
208,200,0.012,
209,200,0.008,
210,200,0.014,
211,200,0.102,
212,200,0.028,
213,200,0.013,
214,200,0.012,
215,200,0.108,
216,200,0.012,
217,200,0.013,
218,200,0.098,
219,200,0.019,
220,200,0.008,
221,200,0.018,
222,200,0.041,
223,200,0.052,
224,200,0.036,
225,200,0.008,
226,200,0.037,
227,200,0.520,
228,200,0.026,
229,200,0.019,
230,200,0.036,
231,200,0.049,
232,200,0.020,
233,200,0.008,
234,200,0.043,
235,200,0.050,
236,200,0.007,
237,200,0.042,
238,200,0.011,
239,200,0.088,
240,200,0.024,
241,200,0.036,
242,200,0.029,
243,200,0.012,
244,200,0.014,
245,200,0.027,
246,200,0.112,
247,200,0.009,
248,200,0.114,
249,200,0.029,
250,200,0.030,
251,200,0.010,
252,200,0.062,
253,200,0.012,
254,200,0.022,
255,200,0.009,
256,200,0.082,
257,200,0.013,
