timestamp,http_status,elapsed_s,breach_over_2s,load_avg_1m
2026-08-13T02:54:33.573264+00:00,200,0.022,0,1.33642578125
2026-08-13T02:54:34.573420+00:00,200,0.009,0,1.33642578125
2026-08-13T02:54:35.573813+00:00,200,0.009,0,1.22900390625
2026-08-13T02:54:36.573906+00:00,200,0.006,0,1.22900390625
2026-08-13T02:54:37.574000+00:00,200,0.006,0,1.22900390625
2026-08-13T02:54:38.574121+00:00,200,0.007,0,1.22900390625
2026-08-13T02:54:39.574355+00:00,200,0.01,0,1.22900390625
2026-08-13T02:54:40.574440+00:00,200,0.008,0,1.291015625
2026-08-13T02:54:41.574531+00:00,200,0.007,0,1.291015625
2026-08-13T02:54:42.574620+00:00,200,0.006,0,1.291015625
2026-08-13T02:54:43.574710+00:00,200,0.006,0,1.291015625
2026-08-13T02:54:44.574807+00:00,200,0.007,0,1.291015625
2026-08-13T02:54:45.574899+00:00,200,0.006,0,1.1875
2026-08-13T02:54:46.574994+00:00,200,0.006,0,1.1875
2026-08-13T02:54:47.575116+00:00,200,0.007,0,1.1875
2026-08-13T02:54:48.575243+00:00,200,0.006,0,1.1875
2026-08-13T02:54:49.575364+00:00,200,0.006,0,1.1875
2026-08-13T02:54:50.575486+00:00,200,0.007,0,1.09228515625
2026-08-13T02:54:51.575607+00:00,200,0.007,0,1.09228515625
2026-08-13T02:54:52.575727+00:00,200,0.007,0,1.09228515625
