elapsed_s,vmpeak_kb,vmhwm_kb,vmrss_kb,job_status
0.0,3320896,2887692,2887692,running
0.609,3320896,2890596,2890596,running
1.142,3320896,2894172,2894172,running
1.644,3320896,2895596,2895596,running
2.18,3320896,2898744,2898744,running
2.721,3320896,2900112,2900112,running
3.266,3320896,2902656,2902656,running
3.816,3320896,2904236,2904236,running
4.377,3320896,2907624,2907624,running
4.931,3320896,2908888,2908888,running
5.546,3320896,2912112,2912112,running
6.072,3320896,2914308,2914308,running
6.594,3320896,2916352,2916352,running
7.151,3323056,2918680,2918680,running
7.67,3327152,2922936,2922936,running
8.196,3328176,2924276,2924276,running
8.728,3330224,2926076,2926076,running
9.32,3332272,2928452,2928452,running
9.919,3334352,2930128,2930128,running
10.427,3336400,2932780,2932780,running
11.079,3338448,2934852,2934852,running
11.623,3341520,2937056,2937056,running
12.15,3343568,2939808,2939808,running
12.71,3345616,2941632,2941632,running
13.258,3347664,2943856,2943856,running
13.819,3349744,2946136,2946136,running
14.403,3352816,2948464,2948464,running
14.971,3354864,2950584,2950584,running
15.556,3356912,2953048,2953048,running
16.197,3358960,2955344,2955344,running
16.723,3362032,2958212,2958212,running
17.296,3364080,2960464,2960464,running
17.862,3368208,2963576,2963576,running
18.39,3371280,2966636,2966636,running
18.924,3371280,2966640,2966640,running
19.507,3372304,2968688,2968688,running
20.094,3375376,2971460,2971460,running
20.63,3377424,2973432,2973432,running
21.176,3380496,2976460,2976460,running
21.709,3380496,2976524,2976524,running
22.27,3382576,2978948,2978948,running
22.814,3385648,2981212,2981212,running
23.408,3387696,2983480,2983480,running
23.94,3387696,2983520,2983520,running
24.487,3389744,2985696,2985696,running
25.14,3392816,2988308,2988308,running
25.729,3395888,2991400,2991400,running
26.305,3397936,2993444,2993444,running
26.809,3397968,2993488,2993488,running
27.338,3400016,2996404,2996404,running
27.885,3403088,2999132,2999132,running
28.478,3403088,2999152,2999152,running
29.029,3406160,3002536,3002536,running
29.589,3409232,3005016,3005016,running
30.136,3409232,3005028,3005028,running
30.669,3412304,3007756,3007756,running
31.327,3415408,3011112,3011112,running
31.861,3415408,3011276,3011276,running
32.399,3418480,3014152,3014152,running
32.951,3421552,3017480,3017480,running
34.077,3421552,3017944,3017944,running
34.625,3424624,3020996,3020996,running
35.166,3425648,3021144,3021144,running
35.718,3427696,3024096,3024096,running
36.276,3430800,3027184,3027184,running
36.796,3430800,3027188,3027188,running
37.388,3433872,3030276,3030276,running
37.913,3436944,3032512,3032512,running
38.415,3436944,3032964,3032964,running
38.94,3438992,3034776,3034776,running
39.472,3438992,3034788,3034788,running
40.058,3442064,3038456,3038456,running
40.585,3444112,3039476,3039476,running
41.107,3446160,3042548,3042548,running
41.644,3449264,3045656,3045656,running
42.226,3449264,3045656,3045656,running
42.784,3453360,3048964,3048964,running
43.333,3453360,3049484,3049484,running
43.892,3456432,3052388,3052388,running
44.465,3459504,3055868,3055868,running
45.0,3459504,3055880,3055880,running
45.524,3462576,3059048,3059048,running
46.025,3515884,3062432,3062432,running
46.718,3517932,3064660,3064660,running
47.427,3524076,3071004,3071004,running
48.138,3532268,3078828,3078828,running
48.681,3538412,3085156,3085156,running
49.21,3539436,3086244,3086244,running
49.741,3540460,3087056,3087056,running
50.252,3540460,3087168,3087168,running
50.811,3541484,3087888,3087888,running
51.326,3542508,3088764,3088764,running
51.874,3543532,3089892,3089892,running
52.416,3544556,3091016,3091016,running
52.963,3545580,3091892,3091892,running
