elapsed_s,vmpeak_kb,vmhwm_kb,vmrss_kb,job_status
84.717,3370480,2856748,2683824,running
85.247,3370480,2856748,2683856,running
85.819,3370480,2856748,2683920,running
86.421,3370480,2856748,2683924,running
86.923,3370480,2856748,2683924,running
87.464,3370480,2856748,2683924,running
87.966,3370480,2856748,2683924,running
88.489,3370480,2856748,2683948,running
88.991,3370480,2856748,2685844,running
89.845,3370480,2856748,2687580,running
90.35,3370480,2856748,2690608,running
90.927,3370480,2856748,2683860,running
91.429,3370480,2856748,2683860,running
91.949,3370480,2856748,2683860,running
92.466,3370480,2856748,2683860,running
92.969,3370480,2856748,2683860,running
93.714,3370480,2856748,2683864,running
94.217,3370480,2856748,2683864,running
94.719,3370480,2856748,2687488,running
95.221,3370480,2856748,2688428,running
95.723,3370480,2856748,2691608,running
96.36,3370480,2856748,2693228,running
96.864,3370480,2856748,2711116,running
97.366,3370480,2856748,2715544,running
97.871,3370480,2856748,2715544,running
98.462,3370480,2856748,2715544,running
98.963,3370480,2856748,2715520,running
99.506,3370480,2856748,2726872,running
100.039,3370480,2856748,2726872,running
100.594,3370480,2856748,2726872,running
101.179,3370480,2856748,2726872,running
101.723,3370480,2856748,2726880,running
102.269,3370480,2856748,2726880,running
102.789,3370480,2856748,2726880,running
103.291,3370480,2856748,2726880,running
103.793,3370480,2856748,2726880,running
104.295,3370480,2856748,2726880,running
104.798,3370480,2856748,2726884,running
105.3,3370480,2856748,2726884,running
105.802,3370480,2856748,2726884,running
106.304,3370480,2856748,2726884,running
106.806,3370480,2856748,2726884,running
107.346,3370480,2856748,2726884,running
107.894,3370480,2856748,2726884,running
108.399,3370480,2856748,2726884,running
109.234,3370480,2856748,2792912,running
109.736,3370480,2947100,2947136,running
110.239,3473908,3005788,3005788,running
110.749,3473908,3057376,3057376,running
111.312,3473908,3100492,3100492,running
111.85,3604964,3142464,3142508,running
112.352,3604964,3165408,3165408,running
113.154,3604964,3179840,3179840,running
113.673,3604964,3179848,3179848,running
114.226,3604964,3179848,3179848,running
114.728,3604964,3180664,3180664,running
115.666,3604964,3179720,1682124,ok
