timestamp,http_code,time_total
2026-08-03T20:02:15.479593264Z,200,0.518179
2026-08-03T20:02:21.9615547Z,200,0.763457
2026-08-03T20:02:26.785051941Z,200,0.253715
2026-08-03T20:02:32.51470873Z,200,0.230839
2026-08-03T20:02:37.293685989Z,200,0.138514
2026-08-03T20:02:42.443808598Z,200,0.164554
2026-08-03T20:02:47.619332099Z,200,0.396423
2026-08-03T20:02:53.27350928Z,200,0.173700
2026-08-03T20:02:58.213514379Z,200,0.122649
2026-08-03T20:03:03.346717055Z,200,0.488029
2026-08-03T20:03:08.847064273Z,200,0.219587
2026-08-03T20:03:14.79700075Z,200,0.327594
2026-08-03T20:03:19.420326862Z,200,0.354125
2026-08-03T20:03:24.786045395Z,200,0.350283
2026-08-03T20:03:30.149386697Z,200,0.175156
2026-08-03T20:03:35.336448446Z,200,0.135133
2026-08-03T20:03:40.482612442Z,200,0.153967
2026-08-03T20:03:45.649482036Z,200,0.201478
2026-08-03T20:03:50.864722723Z,200,0.272172
2026-08-03T20:03:56.148072929Z,200,0.253659
2026-08-03T20:04:01.413778462Z,200,0.230154
2026-08-03T20:04:06.655875821Z,200,0.321625
2026-08-03T20:04:11.989403094Z,200,0.306604
2026-08-03T20:04:17.308789903Z,200,0.168774
2026-08-03T20:04:22.488905619Z,200,0.286550
2026-08-03T20:04:27.787669443Z,200,0.437920
2026-08-03T20:04:33.239200742Z,200,0.280989
2026-08-03T20:04:38.533342655Z,200,0.644566
2026-08-03T20:04:44.190221797Z,200,0.608282
2026-08-03T20:04:49.810959472Z,200,0.935577
2026-08-03T20:04:55.758414621Z,200,0.202277
2026-08-03T20:05:00.973442779Z,200,0.342169
2026-08-03T20:05:06.328876912Z,200,0.206634
2026-08-03T20:05:11.548417389Z,200,0.560460
2026-08-03T20:05:17.121842752Z,200,1.048796
2026-08-03T20:05:23.183860373Z,200,0.117589
2026-08-03T20:05:28.312940356Z,200,0.475909
2026-08-03T20:05:33.801424642Z,200,0.431909
2026-08-03T20:05:39.245288011Z,200,0.864119
2026-08-03T20:05:45.122264516Z,200,0.614299
2026-08-03T20:05:50.749171529Z,200,0.404326
2026-08-03T20:05:56.166711166Z,200,0.444612
2026-08-03T20:06:01.623760238Z,200,0.714479
2026-08-03T20:06:07.349720428Z,200,0.138927
2026-08-03T20:06:12.501277999Z,200,0.348189
2026-08-03T20:06:17.861729118Z,200,0.307735
2026-08-03T20:06:23.182163420Z,200,0.504132
2026-08-03T20:06:28.699462451Z,200,0.443347
2026-08-03T20:06:34.155392611Z,200,0.682073
2026-08-03T20:06:39.849606968Z,200,0.722277
2026-08-03T20:06:45.584103150Z,200,0.718570
2026-08-03T20:06:51.314479214Z,200,0.326883
2026-08-03T20:06:56.655021617Z,200,0.796948
2026-08-03T20:07:02.463447675Z,200,0.114713
2026-08-03T20:07:07.589376012Z,200,0.305567
2026-08-03T20:07:12.908950136Z,200,1.079084
2026-08-03T20:07:19.607666Z,200,0.841781
2026-08-03T20:07:24.854963270Z,200,0.133607
2026-08-03T20:07:29.999195071Z,200,0.131359
2026-08-03T20:07:35.141208431Z,200,0.141436
2026-08-03T20:07:40.294372309Z,200,0.817881
2026-08-03T20:07:46.124505843Z,200,0.872951
2026-08-03T20:07:52.9760044Z,200,0.721731
2026-08-03T20:07:57.744133621Z,200,0.577831
2026-08-03T20:08:03.335029467Z,200,0.376595
2026-08-03T20:08:08.724501779Z,200,0.305229
2026-08-03T20:08:14.41184608Z,200,0.161323
2026-08-03T20:08:19.214093732Z,200,0.370914
2026-08-03T20:08:24.596658401Z,200,0.378426
2026-08-03T20:08:29.987138493Z,200,0.494071
2026-08-03T20:08:35.495024424Z,200,1.755723
2026-08-03T20:08:42.261928237Z,200,0.242911
2026-08-03T20:08:47.516475289Z,200,0.438204
2026-08-03T20:08:52.970285429Z,200,0.575873
2026-08-03T20:08:58.558406063Z,200,0.131966
2026-08-03T20:09:03.701874403Z,200,0.390722
2026-08-03T20:09:09.105612579Z,200,0.623494
2026-08-03T20:09:14.741510548Z,200,0.911760
2026-08-03T20:09:20.663911721Z,200,0.490677
2026-08-03T20:09:26.166793501Z,200,0.124788
2026-08-03T20:09:31.302512153Z,200,0.331946
2026-08-03T20:09:36.646466716Z,200,0.930048
2026-08-03T20:09:42.587720156Z,200,0.863461
2026-08-03T20:09:48.462922356Z,200,0.135244
