epoch_ms,http_code,total_s,connect_s,ttfb_s
1786169786852,200,0.096,0.001,0.096
1786169787852,200,0.190,0.000,0.189
1786169788853,200,0.182,0.000,0.182
1786169789853,200,0.135,0.000,0.135
1786169790853,200,0.366,0.000,0.366
1786169791853,200,0.424,0.000,0.424
1786169792853,200,0.229,0.000,0.229
1786169793853,200,0.379,0.000,0.379
1786169794853,200,0.280,0.000,0.280
1786169795853,200,0.303,0.000,0.303
1786169796853,200,0.348,0.000,0.348
1786169797853,200,0.535,0.000,0.535
1786169798853,200,0.387,0.000,0.387
1786169799853,200,0.485,0.000,0.485
1786169800853,200,0.693,0.000,0.693
1786169801854,200,0.257,0.000,0.257
1786169802854,200,0.142,0.000,0.142
1786169803854,200,0.101,0.000,0.101
1786169804854,200,0.378,0.000,0.378
1786169805854,200,0.430,0.000,0.430
1786169806854,200,0.405,0.000,0.404
1786169807854,200,0.357,0.000,0.357
1786169808854,200,0.157,0.000,0.157
1786169809854,200,0.229,0.000,0.229
1786169810854,200,0.326,0.000,0.326
1786169811854,200,0.407,0.000,0.407
1786169812854,200,0.181,0.000,0.181
1786169813854,200,0.174,0.000,0.174
1786169814854,200,0.431,0.000,0.431
1786169815855,200,0.452,0.000,0.452
1786169816855,200,0.430,0.000,0.430
1786169817855,200,0.447,0.000,0.447
1786169818855,200,0.454,0.000,0.454
1786169819855,200,0.139,0.000,0.139
1786169820855,200,0.280,0.000,0.280
1786169821855,200,0.376,0.000,0.376
1786169822855,200,0.469,0.000,0.469
1786169823855,200,0.556,0.000,0.556
1786169824855,200,0.653,0.000,0.653
1786169825855,200,0.364,0.000,0.364
1786169826855,200,0.133,0.000,0.133
1786169827855,200,0.220,0.000,0.220
1786169828856,200,0.683,0.000,0.682
1786169829856,200,0.433,0.000,0.433
1786169830856,200,0.225,0.000,0.225
1786169831856,200,0.099,0.000,0.099
1786169832856,200,0.455,0.000,0.455
1786169833856,200,0.262,0.000,0.262
1786169834856,200,0.112,0.000,0.112
1786169835856,200,0.166,0.000,0.166
1786169836856,200,0.215,0.000,0.215
1786169837856,200,0.363,0.000,0.363
