epoch_ms,endpoint,http_code,total_s,bytes
1786169801144,/api/research/factor-lab?all=true,000,600.079,0
1786170403223,/api/research/factor-combination,200,267.377,4856
1786170672600,/api/research/factor-lab?all=true,200,502.720,117958
1786171177320,/api/research/factor-combination,200,0.120,4856
1786171179440,/api/research/factor-lab?all=true,200,0.148,117958
1786171181588,/api/research/factor-combination,200,0.093,4856
1786171183681,/api/research/factor-lab?all=true,200,0.083,117958
1786171185764,/api/research/factor-combination,200,0.106,4856
1786171187870,/api/research/factor-lab?all=true,200,0.009,117958
1786171189879,/api/research/factor-combination,200,0.058,4856
1786171191937,/api/research/factor-lab?all=true,200,0.066,117958
1786171194003,/api/research/factor-combination,200,0.006,4856
1786171196010,/api/research/factor-lab?all=true,200,0.010,117958
1786171198020,/api/research/factor-combination,200,0.053,4856
1786171200073,/api/research/factor-lab?all=true,200,0.048,117958
1786171202121,/api/research/factor-combination,200,0.040,4856
1786171204161,/api/research/factor-lab?all=true,200,0.044,117958
1786171206205,/api/research/factor-combination,200,0.095,4856
1786171208301,/api/research/factor-lab?all=true,200,0.066,117958
1786171210367,/api/research/factor-combination,200,0.102,4856
1786171212469,/api/research/factor-lab?all=true,200,0.073,117958
1786171214543,/api/research/factor-combination,200,0.054,4856
1786171216597,/api/research/factor-lab?all=true,200,0.060,117958
1786171218657,/api/research/factor-combination,200,0.013,4856
1786171220670,/api/research/factor-lab?all=true,200,0.019,117958
1786171222688,/api/research/factor-combination,200,0.038,4856
1786171224726,/api/research/factor-lab?all=true,200,0.016,117958
1786171226743,/api/research/factor-combination,200,0.030,4856
1786171228773,/api/research/factor-lab?all=true,200,0.015,117958
1786171230788,/api/research/factor-combination,200,0.045,4856
1786171232833,/api/research/factor-lab?all=true,200,0.062,117958
1786171234895,/api/research/factor-combination,200,0.006,4856
1786171236902,/api/research/factor-lab?all=true,200,0.009,117958
1786171238910,/api/research/factor-combination,200,0.040,4856
1786171240950,/api/research/factor-lab?all=true,200,0.021,117958
1786171242971,/api/research/factor-combination,200,0.042,4856
1786171245013,/api/research/factor-lab?all=true,200,0.019,117958
1786171247032,/api/research/factor-combination,200,0.006,4856
1786171249038,/api/research/factor-lab?all=true,200,0.009,117958
1786171251047,/api/research/factor-combination,200,0.008,4856
1786171253055,/api/research/factor-lab?all=true,200,0.010,117958
1786171255064,/api/research/factor-combination,200,0.064,4856
