epoch_ms,endpoint,http_code,total_s,bytes
1786320398733,/api/research/factor-lab?all=true,000,600.008,0
1786321000741,/api/research/factor-combination,200,429.412,4852
1786321432153,/api/research/factor-lab?all=true,000,600.101,0
1786322034254,/api/research/factor-combination,200,0.228,4852
1786322036482,/api/research/factor-lab?all=true,200,13.076,117988
1786322051558,/api/research/factor-combination,200,0.053,4852
1786322053612,/api/research/factor-lab?all=true,200,0.096,117988
1786322055708,/api/research/factor-combination,200,0.149,4852
1786322057858,/api/research/factor-lab?all=true,200,0.070,117988
1786322059928,/api/research/factor-combination,200,0.053,4852
1786322061981,/api/research/factor-lab?all=true,200,0.011,117988
1786322063992,/api/research/factor-combination,200,0.045,4852
1786322066038,/api/research/factor-lab?all=true,200,0.049,117988
1786322068087,/api/research/factor-combination,200,0.037,4852
1786322070124,/api/research/factor-lab?all=true,200,0.472,117988
1786322072596,/api/research/factor-combination,200,0.006,4852
1786322074602,/api/research/factor-lab?all=true,200,0.011,117988
1786322076613,/api/research/factor-combination,200,0.079,4852
1786322078692,/api/research/factor-lab?all=true,200,0.152,117988
1786322080844,/api/research/factor-combination,200,0.046,4852
1786322082890,/api/research/factor-lab?all=true,200,0.048,117988
1786322084938,/api/research/factor-combination,200,0.145,4852
1786322087083,/api/research/factor-lab?all=true,200,0.082,117988
1786322089165,/api/research/factor-combination,200,0.067,4852
1786322091232,/api/research/factor-lab?all=true,200,0.037,117988
1786322093269,/api/research/factor-combination,200,0.043,4852
1786322095312,/api/research/factor-lab?all=true,200,0.072,117988
1786322097384,/api/research/factor-combination,200,0.111,4852
1786322099495,/api/research/factor-lab?all=true,200,0.017,117988
1786322101513,/api/research/factor-combination,200,0.014,4852
1786322103527,/api/research/factor-lab?all=true,200,0.054,117988
1786322105582,/api/research/factor-combination,200,0.026,4852
1786322107608,/api/research/factor-lab?all=true,200,0.024,117988
1786322109632,/api/research/factor-combination,200,0.057,4852
1786322111690,/api/research/factor-lab?all=true,200,0.133,117988
1786322113823,/api/research/factor-combination,200,0.014,4852
1786322115836,/api/research/factor-lab?all=true,200,0.060,117988
1786322117897,/api/research/factor-combination,200,0.039,4852
1786322119936,/api/research/factor-lab?all=true,200,0.068,117988
1786322122004,/api/research/factor-combination,200,0.059,4852
1786322124063,/api/research/factor-lab?all=true,200,0.035,117988
1786322126098,/api/research/factor-combination,200,0.007,4852
1786322128105,/api/research/factor-lab?all=true,200,0.074,117988
1786322130179,/api/research/factor-combination,200,0.036,4852
1786322132216,/api/research/factor-lab?all=true,200,0.013,117988
1786322134229,/api/research/factor-combination,200,0.014,4852
1786322136242,/api/research/factor-lab?all=true,200,0.015,117988
1786322138258,/api/research/factor-combination,200,0.010,4852
1786322140268,/api/research/factor-lab?all=true,200,0.017,117988
1786322142285,/api/research/factor-combination,200,0.011,4852
1786322144296,/api/research/factor-lab?all=true,200,0.016,117988
1786322146312,/api/research/factor-combination,200,0.006,4852
1786322148318,/api/research/factor-lab?all=true,200,0.014,117988
1786322150333,/api/research/factor-combination,200,0.058,4852
1786322152391,/api/research/factor-lab?all=true,200,0.110,117988
