epoch_ms,endpoint,http_code,total_s,bytes
1786308939921,/api/research/factor-lab?all=true,000,600.044,0
1786309541965,/api/research/factor-combination,200,429.444,4853
1786309973409,/api/research/factor-lab?all=true,200,583.757,117976
1786310559166,/api/research/factor-combination,200,0.110,4853
1786310561276,/api/research/factor-lab?all=true,200,0.012,117976
1786310563288,/api/research/factor-combination,200,0.046,4853
1786310565335,/api/research/factor-lab?all=true,200,0.158,117976
1786310567492,/api/research/factor-combination,200,0.095,4853
1786310569587,/api/research/factor-lab?all=true,200,0.063,117976
1786310571650,/api/research/factor-combination,200,0.078,4853
1786310573729,/api/research/factor-lab?all=true,200,0.121,117976
1786310575850,/api/research/factor-combination,200,0.006,4853
1786310577856,/api/research/factor-lab?all=true,200,0.260,117976
1786310580117,/api/research/factor-combination,200,0.021,4853
1786310582138,/api/research/factor-lab?all=true,200,0.011,117976
1786310584149,/api/research/factor-combination,200,0.068,4853
1786310586217,/api/research/factor-lab?all=true,200,0.047,117976
1786310588265,/api/research/factor-combination,200,0.088,4853
1786310590353,/api/research/factor-lab?all=true,200,0.050,117976
1786310592403,/api/research/factor-combination,200,0.218,4853
1786310594622,/api/research/factor-lab?all=true,200,0.110,117976
1786310596732,/api/research/factor-combination,200,0.096,4853
1786310598828,/api/research/factor-lab?all=true,200,0.093,117976
1786310600921,/api/research/factor-combination,200,0.057,4853
1786310602978,/api/research/factor-lab?all=true,200,0.051,117976
1786310605030,/api/research/factor-combination,200,0.064,4853
1786310607094,/api/research/factor-lab?all=true,200,0.027,117976
1786310609122,/api/research/factor-combination,200,0.024,4853
1786310611145,/api/research/factor-lab?all=true,200,0.054,117976
1786310613199,/api/research/factor-combination,200,0.006,4853
1786310615205,/api/research/factor-lab?all=true,200,0.028,117976
1786310617233,/api/research/factor-combination,200,0.063,4853
1786310619297,/api/research/factor-lab?all=true,200,0.032,117976
1786310621329,/api/research/factor-combination,200,0.008,4853
1786310623337,/api/research/factor-lab?all=true,200,0.070,117976
1786310625407,/api/research/factor-combination,200,0.015,4853
1786310627421,/api/research/factor-lab?all=true,200,0.038,117976
1786310629459,/api/research/factor-combination,200,0.058,4853
